"variable","item"
"Q99R10","Q99R10"
"Q99R11","Q99R11"
"Q110R1","Q110"
"Q110R2","Q110"
"Q110R3","Q110"
"Q110R4","Q110"
"Q110R5","Q110"
"Q110R6","Q110"
"Q110R7","Q110"
"Q110R8","Q110"
"Q111R1","Q111R1"
"Q111R2","Q111R2"
"Q111R3","Q111R3"
"Q111R4","Q111R4"
"Q111R5","Q111R5"
"Q116R1","Q116"
"Q116R2","Q116"
"Q116R3","Q116"
"Q116R4","Q116"
"Q116R5","Q116"
"Q116R6","Q116"
"Q116R7","Q116"
"Q116R8","Q116"
"Q116R9","Q116"
"Q116R10","Q116"
"Q116R11","Q116"
"Q116R12","Q116"
"Q116R13","Q116"
"Q116R14","Q116"
"Q117R1","Q117R1"
"Q117R2","Q117R2"
"Q117R3","Q117R3"
"Q117R4","Q117R4"
"Q117R5","Q117R5"
"Q117R6","Q117R6"
"Q117R7","Q117R7"
"Q117R8","Q117R8"
"Q117R9","Q117R9"
"Q117R10","Q117R10"
"Q117R11","Q117R11"
"Q117R12","Q117R12"
"Q117R13","Q117R13"
"Q130","Q130"
"Q131R1","Q131R1"
"Q131R2","Q131R2"
"Q131R3","Q131R3"
"Q131R4","Q131R4"
"Q131R5","Q131R5"
"Q131R6","Q131R6"
"Q131R7","Q131R7"
"Q131R8","Q131R8"
"Q131R9","Q131R9"
"Q131R10","Q131R10"
"Q131R11","Q131R11"
"Q131R12","Q131R12"
"Q131R13","Q131R13"
"Q144","Q144"
"Q145","Q145"
"Q146","Q146"
"Q147","Q147"
"Q148","Q148"
"Q149","Q149"
"Q150","Q150"
"Q151","Q151"
"Q152","Q152"
"Q153","Q153"
"Q154R1","Q154R1"
"Q154R2","Q154R2"
"Q154R3","Q154R3"
"Q154R4","Q154R4"
"Q154R5","Q154R5"
"Q159R1","Q159R1"
"Q159R2","Q159R2"
"Q159R3","Q159R3"
"Q162R1","Q162R1"
"Q162R2","Q162R2"
"Q162R3","Q162R3"
"Q162R4","Q162R4"
"Q162R5","Q162R5"
"Q162R6","Q162R6"
"Q162R7","Q162R7"
"Q162R8","Q162R8"
"Q170","Q170"
"Q171R1","Q171"
"Q171R2","Q171"
"Q171R3","Q171"
"Q171R4","Q171"
"Q171R5","Q171"
"Q171R6","Q171"
"Q171R7","Q171"
"Q171R8","Q171"
"Q171R9","Q171"
"Q172R1","Q172R1"
"Q172R2","Q172R2"
"Q172R3","Q172R3"
"Q175R1","Q175R1"
"Q175R2","Q175R2"
"Q175R3","Q175R3"
"Q178R1","Q178R1"
"Q178R2","Q178R2"
"Q178R3","Q178R3"
"Q178R4","Q178R4"
"Q182","Q182"
"Q183","Q183"
"Q184R1","Q184R1"
"Q184R2","Q184R2"
"Q184R3","Q184R3"
"Q187R1","Q187R1"
"Q187R2","Q187R2"
"Q187R3","Q187R3"
"Q187R4","Q187R4"
"Q187R5","Q187R5"
"Q192","Q192"
"Q193","Q193"
"Q194","Q194"
"Q195A1R1","Q195A1"
"Q195A1R2","Q195A1"
"Q195A1R3","Q195A1"
"Q195A1R4","Q195A1"
"Q195A2R1","Q195A2"
"Q195A2R2","Q195A2"
"Q195A2R3","Q195A2"
"Q195A2R4","Q195A2"
"Q195A2R5","Q195A2"
"Q195A2R6","Q195A2"
"Q195A2R7","Q195A2"
"Q195A2R8","Q195A2"
"Q195A2R9","Q195A2"
"Q195A2R10","Q195A2"
"Q195B1R1","Q195B1"
"Q195B1R2","Q195B1"
"Q195B1R3","Q195B1"
"Q195B1R4","Q195B1"
"Q195B2R1","Q195B2"
"Q195B2R2","Q195B2"
"Q195B2R3","Q195B2"
"Q195B2R4","Q195B2"
"Q195B2R5","Q195B2"
"Q195B2R6","Q195B2"
"Q195B2R7","Q195B2"
"Q195B2R8","Q195B2"
"Q195B2R9","Q195B2"
"Q195B2R10","Q195B2"
"Q196","Q196"
"Q197A1","Q197A1"
"Q197A2","Q197A2"
"Q197B1","Q197B1"
"Q197B2","Q197B2"
"Q198","Q198"
"Q199","Q199"
"Q200","Q200"
"Q201","Q201"
"Q202R1","Q202"
"Q202R2","Q202"
"Q202R3","Q202"
"Q203","Q203"
"Q204","Q204"
"Q205","Q205"
"Q206","Q206"
"Q207","Q207"
"Q208R1","Q208R1"
"Q208R2","Q208R2"
"Q208R3","Q208R3"
"Q208R4","Q208R4"
"Q208R5","Q208R5"
"Q213R1","Q213R1"
"Q213R2","Q213R2"
"Q213R3","Q213R3"
"Q213R4","Q213R4"
"Q217R1","Q217R1"
"Q217R2","Q217R2"
"Q217R3","Q217R3"
"Q217R4","Q217R4"
"Q221R1","Q221R1"
"Q221R2","Q221R2"
"Q221R3","Q221R3"
"Q221R4","Q221R4"
"Q225R1","Q225R1"
"Q225R2","Q225R2"
"Q225R3","Q225R3"
"Q225R4","Q225R4"
"Q225R5","Q225R5"
"Q225R6","Q225R6"
"Q225R7","Q225R7"
"Q225R8","Q225R8"
"Q225R9","Q225R9"
"Q225R10","Q225R10"
"Q225R11","Q225R11"
"Q225R12","Q225R12"
"Q225R13","Q225R13"
"Q225R14","Q225R14"
"Q239R1","Q239R1"
"Q239R2","Q239R2"
"Q239R3","Q239R3"
"Q239R4","Q239R4"
"Q243R1","Q243R1"
"Q243R2","Q243R2"
"Q243R3","Q243R3"
"Q243R4","Q243R4"
"Q247","Q247"
"Q248","Q248"
"Q249","Q249"
"Q250R1","Q250R1"
"Q250R2","Q250R2"
"Q250R3","Q250R3"
"Q250R4","Q250R4"
"Q250R5","Q250R5"
"Q250R6","Q250R6"
"Q250R7","Q250R7"
"Q250R8","Q250R8"
"Q251","Q251"
"Q252","Q252"
"Q253","Q253"
"Q254","Q254"
"Q255","Q255"
"Q256","Q256"
"Q257AR1","Q257AR1"
"Q257AR2","Q257AR2"
"Q257AR3","Q257AR3"
"Q257AR4","Q257AR4"
"Q257BR1","Q257BR1"
"Q257BR2","Q257BR2"
"Q257BR3","Q257BR3"
"Q257BR4","Q257BR4"
"Q257CR1","Q257CR1"
"Q257CR2","Q257CR2"
"Q257CR3","Q257CR3"
"Q257CR4","Q257CR4"
"Q258","Q258"
"Q260","Q260"
"Q261","Q261"
"Q262","Q262"
"Q263","Q263"
"Q264","Q264"
"Q265","Q265"
"Q266","Q266"
"Q267","Q267"
"Q268","Q268"
"Q269","Q269"
"Q270","Q270"
"Q271","Q271"
"Q272","Q272"
"Q273R1","Q273R1"
"Q273R2","Q273R2"
"Q273R3","Q273R3"
"Q273R4","Q273R4"
"Q273R5","Q273R5"
"Q278","Q278"
"Q279","Q279"
"Q280","Q280"
"Q281R1","Q281"
"Q281R2","Q281"
"Q281R3","Q281"
"Q281R4","Q281"
"Q281R5","Q281"
"Q281R6","Q281"
"Q281R7","Q281"
"Q281R8","Q281"
"Q281R9","Q281"
"Q282","Q282"
"Q283","Q283"
"Q284","Q284"
"Q285","Q285"
"Q286","Q286"
"Q287R1","Q287R1"
"Q287R2","Q287R2"
"Q287R3","Q287R3"
"Q287R4","Q287R4"
"Q287R5","Q287R5"
"Q287R6","Q287R6"
"Q287R7","Q287R7"
"Q294","Q294"
"Q295R1","Q295"
"Q295R2","Q295"
"Q295R3","Q295"
"Q295R4","Q295"
"Q295R5","Q295"
"Q295R6","Q295"
"Q301R1","Q301"
"Q301R2","Q301"
"Q301R3","Q301"
"Q301R4","Q301"
"Q301R5","Q301"
"Q301R6","Q301"
"Q301R7","Q301"
"Q308R1","Q308R1"
"Q308R2","Q308R2"
"Q308R3","Q308R3"
"Q308R4","Q308R4"
"Q308R5","Q308R5"
"Q308R6","Q308R6"
"Q308R7","Q308R7"
"Q315","Q315"
"Q316R1","Q316R1"
"Q316R2","Q316R2"
"Q316R3","Q316R3"
"Q316R4","Q316R4"
"Q316R5","Q316R5"
"Q316R6","Q316R6"
"Q316R7","Q316R7"
"Q323_BLW","Q323_BLW"
"Q323_API","Q323_API"
"Q323_NINH","Q323_NINH"
"Q324","Q324"
"Q325_BLW","Q325_BLW"
"Q325_API","Q325_API"
"Q325_NINH","Q325_NINH"
"Q326R1","Q326R1"
"Q326R2","Q326R2"
"Q326R3","Q326R3"
"Q326R4","Q326R4"
"Q326R5","Q326R5"
"Q326R6","Q326R6"
"Q326R7","Q326R7"
"Q329R1","Q329"
"Q329R2","Q329"
"Q329R3","Q329"
"Q329R4","Q329"
"Q329R5","Q329"
"Q329R6","Q329"
"Q329R7","Q329"
"Q329R8","Q329"
"Q329R9","Q329"
"Q329R10","Q329"
"Q330","Q330"
"Q331","Q331"
"Q332","Q332"
"Q333","Q333"
"Q334","Q334"
"Q335","Q335"
"Q336R1C1","Q336"
"Q336R2C1","Q336"
"Q336R3C1","Q336"
"Q339","Q339"
"Q340","Q340"
"Q341R1","Q341R1"
"Q341R2","Q341R2"
"Q343R1","Q343R1"
"Q343R2","Q343R2"
"Q343R3","Q343R3"
"Q343R4","Q343R4"
"Q347","Q347"
"Q348","Q348"
"Q349","Q349"
"Q350","Q350"
"Q351","Q351"
"Q352","Q352"
"Q353","Q353"
"Q354","Q354"
"Q355R1","Q355"
"Q355R2","Q355"
"Q355R3","Q355"
"Q355R4","Q355"
"Q355R5","Q355"
"Q355R6","Q355"
"Q355R7","Q355"
"Q355R8","Q355"
"Q355R9","Q355"
"Q356","Q356"
"Q357","Q357"
"Q358","Q358"
"Q359R1","Q359R1"
"Q359R2","Q359R2"
"Q359R3","Q359R3"
"Q359R4","Q359R4"
"Q363","Q363"
"Q364","Q364"
"Q365","Q365"
"Q366R1","Q366"
"Q366R2","Q366"
"Q366R3","Q366"
"Q366R4","Q366"
"Q367","Q367"
"Q368","Q368"
"Q369","Q369"
"Q370","Q370"
"Q371","Q371"
"Q372","Q372"
"Q373","Q373"
"Q374","Q374"
"Q375","Q375"
"Q376","Q376"
"Q377","Q377"
"Q378","Q378"
"Q379","Q379"
"Q380","Q380"
"Q381_Q383R1","Q381_Q383R1"
"Q381_Q383R2","Q381_Q383R2"
"Q381_Q383R3","Q381_Q383R3"
"Q384R1","Q384R1"
"Q385","Q385"
"Q386_Q390R1","Q386_Q390R1"
"Q386_Q390R2","Q386_Q390R2"
"Q386_Q390R3","Q386_Q390R3"
"Q386_Q390R4","Q386_Q390R4"
"Q386_Q390R5","Q386_Q390R5"
"Q391_Q393R1","Q391_Q393R1"
"Q391_Q393R2","Q391_Q393R2"
"Q391_Q393R3","Q391_Q393R3"
"Q394","Q394"
"Q395","Q395"
"Q396_Q398R1","Q396_Q398R1"
"Q396_Q398R2","Q396_Q398R2"
"Q396_Q398R3","Q396_Q398R3"
"Q399","Q399"
"Q400","Q400"
"Q401_Q404R1","Q401_Q404R1"
"Q401_Q404R2","Q401_Q404R2"
"Q401_Q404R3","Q401_Q404R3"
"Q401_Q404R4","Q401_Q404R4"
"Q405","Q405"
"Q406","Q406"
"Q407R1","Q407"
"Q407R2","Q407"
"Q407R3","Q407"
"Q407R4","Q407"
"Q407R5","Q407"
"Q408","Q408"
"Q409","Q409"
"Q410","Q410"
"Q411_Q416R1","Q411_Q416R1"
"Q411_Q416R2","Q411_Q416R2"
"Q411_Q416R3","Q411_Q416R3"
"Q411_Q416R4","Q411_Q416R4"
"Q411_Q416R5","Q411_Q416R5"
"Q411_Q416R6","Q411_Q416R6"
"Q417_Q424R1","Q417_Q424R1"
"Q417_Q424R2","Q417_Q424R2"
"Q417_Q424R3","Q417_Q424R3"
"Q417_Q424R4","Q417_Q424R4"
"Q417_Q424R5","Q417_Q424R5"
"Q417_Q424R6","Q417_Q424R6"
"Q417_Q424R7","Q417_Q424R7"
"Q417_Q424R8","Q417_Q424R8"
"Q425","Q425"
"Q428R1","Q428"
"Q428R2","Q428"
"Q428R3","Q428"
"Q428R4","Q428"
"Q428R6","Q428"
"Q428R5","Q428"
"Q429_Q440R1","Q429_Q440R1"
"Q429_Q440R2","Q429_Q440R2"
"Q429_Q440R3","Q429_Q440R3"
"Q429_Q440R4","Q429_Q440R4"
"Q429_Q440R5","Q429_Q440R5"
"Q429_Q440R6","Q429_Q440R6"
"Q429_Q440R7","Q429_Q440R7"
"Q429_Q440R8","Q429_Q440R8"
"Q429_Q440R9","Q429_Q440R9"
"Q429_Q440R10","Q429_Q440R10"
"Q429_Q440R11","Q429_Q440R11"
"Q429_Q440R12","Q429_Q440R12"
"Q441_Q452R1","Q441_Q452R1"
"Q441_Q452R2","Q441_Q452R2"
"Q441_Q452R3","Q441_Q452R3"
"Q441_Q452R4","Q441_Q452R4"
"Q441_Q452R5","Q441_Q452R5"
"Q441_Q452R6","Q441_Q452R6"
"Q441_Q452R7","Q441_Q452R7"
"Q441_Q452R8","Q441_Q452R8"
"Q441_Q452R9","Q441_Q452R9"
"Q441_Q452R10","Q441_Q452R10"
"Q441_Q452R11","Q441_Q452R11"
"Q441_Q452R12","Q441_Q452R12"
"Q453","Q453"
"Q454","Q454"
"Q455","Q455"
"Q456_Q461R1","Q456_Q461R1"
"Q456_Q461R2","Q456_Q461R2"
"Q456_Q461R3","Q456_Q461R3"
"Q456_Q461R4","Q456_Q461R4"
"Q456_Q461R5","Q456_Q461R5"
"Q456_Q461R6","Q456_Q461R6"
"Q462","Q462"
"Q463","Q463"
"Q464","Q464"
"Q465R1","Q465"
"Q465R2","Q465"
"Q466","Q466"
"Q467_Q469R1","Q467_Q469R1"
"Q467_Q469R2","Q467_Q469R2"
"Q467_Q469R3","Q467_Q469R3"
"Q470","Q470"
"Q471R6","Q471"
"Q471R7","Q471"
"Q471R8","Q471"
"Q471R9","Q471"
"Q472_Q474R1","Q472_Q474R1"
"Q472_Q474R2","Q472_Q474R2"
"Q472_Q474R3","Q472_Q474R3"
"Q475R1","Q475"
"Q475R2","Q475"
"Q475R3","Q475"
"Q475R4","Q475"
"Q475R5","Q475"
"Q475R6","Q475"
"Q475R7","Q475"
"Q476","Q476"
"Q477","Q477"
"Q478_Q483R1","Q478_Q483R1"
"Q478_Q483R2","Q478_Q483R2"
"Q478_Q483R3","Q478_Q483R3"
"Q478_Q483R4","Q478_Q483R4"
"Q478_Q483R5","Q478_Q483R5"
"Q478_Q483R6","Q478_Q483R6"
"Q484","Q484"
"Q485","Q485"
"Q486","Q486"
"Q487_Q489R1","Q487_Q489R1"
"Q487_Q489R2","Q487_Q489R2"
"Q487_Q489R3","Q487_Q489R3"
"Q490R1","Q490"
"Q490R2","Q490"
"Q490R3","Q490"
"Q490R4","Q490"
"Q490R5","Q490"
"Q490R6","Q490"
"Q490R7","Q490"
"Q490R8","Q490"
"Q491A","Q491A"
"Q491R1","Q491"
"Q491R2","Q491"
"Q491R3","Q491"
"Q491R4","Q491"
"Q491R5","Q491"
"Q491R6","Q491"
"Q491R7","Q491"
"Q492","Q492"
"Q493","Q493"
"Q494_Q503R1","Q494_Q503R1"
"Q494_Q503R2","Q494_Q503R2"
"Q494_Q503R3","Q494_Q503R3"
"Q494_Q503R4","Q494_Q503R4"
"Q494_Q503R5","Q494_Q503R5"
"Q494_Q503R6","Q494_Q503R6"
"Q494_Q503R7","Q494_Q503R7"
"Q494_Q503R8","Q494_Q503R8"
"Q494_Q503R9","Q494_Q503R9"
"Q494_Q503R10","Q494_Q503R10"
"Q504R1","Q504R1"
"Q504R2","Q504R2"
"Q504R3","Q504R3"
"Q504R4","Q504R4"
"Q504R5","Q504R5"
"Q504R6","Q504R6"
"Q504R7","Q504R7"
"Q504R8","Q504R8"
"Q504R11","Q504R11"
"Q504R12","Q504R12"
"Q505_Q508R1","Q505_Q508R1"
"Q505_Q508R2","Q505_Q508R2"
"Q505_Q508R3","Q505_Q508R3"
"Q505_Q508R4","Q505_Q508R4"
"Q509_Q511R1","Q509_Q511R1"
"Q509_Q511R2","Q509_Q511R2"
"Q509_Q511R3","Q509_Q511R3"
"Q512R1","Q512"
"Q512R2","Q512"
"Q512R3","Q512"
"Q513_Q516R1","Q513_Q516R1"
"Q513_Q516R2","Q513_Q516R2"
"Q513_Q516R3","Q513_Q516R3"
"Q517","Q517"
"Q518","Q518"
"Q519","Q519"
"Q520","Q520"
"Q521_Q528R1","Q521_Q528R1"
"Q521_Q528R2","Q521_Q528R2"
"Q521_Q528R3","Q521_Q528R3"
"Q521_Q528R4","Q521_Q528R4"
"Q521_Q528R5","Q521_Q528R5"
"Q521_Q528R6","Q521_Q528R6"
"Q521_Q528R7","Q521_Q528R7"
"Q521_Q528R8","Q521_Q528R8"
"Q529","Q529"
"Q530","Q530"
"Q531","Q531"
"Q532","Q532"
"Q533","Q533"
"Q534R1","Q534"
"Q534R2","Q534"
"Q534R3","Q534"
"Q534R4","Q534"
"Q534R5","Q534"
"Q535_Q538R1","Q535_Q538R1"
"Q535_Q538R2","Q535_Q538R2"
"Q535_Q538R3","Q535_Q538R3"
"Q535_Q538R4","Q535_Q538R4"
"Q539R1","Q539"
"Q539R2","Q539"
"Q539R3","Q539"
"Q539R4","Q539"
"Q539R6","Q539"
"Q539R5","Q539"
"Q540R1","Q540R1"
"Q541","Q541"
"Q542","Q542"
"Q543","Q543"
"Q544","Q544"
"Q545R7","Q545R7"
"Q546R7","Q546R7"
"Q547R7","Q547R7"
"Q548R7","Q548R7"
"Q549R7","Q549R7"
"Q550R1","Q550"
"Q550R2","Q550"
"Q550R3","Q550"
"Q550R4","Q550"
"Q550R5","Q550"
"Q550R6","Q550"
"Q551_Q559R1","Q551_Q559R1"
"Q551_Q559R2","Q551_Q559R2"
"Q551_Q559R3","Q551_Q559R3"
"Q551_Q559R4","Q551_Q559R4"
"Q551_Q559R5","Q551_Q559R5"
"Q551_Q559R6","Q551_Q559R6"
"Q551_Q559R7","Q551_Q559R7"
"Q551_Q559R8","Q551_Q559R8"
"Q551_Q559R9","Q551_Q559R9"
"Q560R1","Q560R1"
"Q560R2","Q560R2"
"Q560R3","Q560R3"
"Q560R4","Q560R4"
"Q560R5","Q560R5"
"Q560R6","Q560R6"
"Q560R7","Q560R7"
"Q560R8","Q560R8"
"Q561","Q561"
"Q562","Q562"
"Q563_Q572R1","Q563_Q572R1"
"Q563_Q572R2","Q563_Q572R2"
"Q563_Q572R3","Q563_Q572R3"
"Q563_Q572R4","Q563_Q572R4"
"Q563_Q572R5","Q563_Q572R5"
"Q563_Q572R6","Q563_Q572R6"
"Q563_Q572R7","Q563_Q572R7"
"Q563_Q572R8","Q563_Q572R8"
"Q563_Q572R9","Q563_Q572R9"
"Q563_Q572R10","Q563_Q572R10"
"Q573","Q573"
"Q574","Q574"
"Q575_Q581R1","Q575_Q581R1"
"Q575_Q581R2","Q575_Q581R2"
"Q575_Q581R3","Q575_Q581R3"
"Q575_Q581R4","Q575_Q581R4"
"Q575_Q581R5","Q575_Q581R5"
"Q575_Q581R6","Q575_Q581R6"
"Q575_Q581R7","Q575_Q581R7"
"Q582","Q582"
"Q583","Q583"
"Q584","Q584"
"Q585_Q590R1","Q585_Q590R1"
"Q585_Q590R2","Q585_Q590R2"
"Q585_Q590R3","Q585_Q590R3"
"Q585_Q590R4","Q585_Q590R4"
"Q585_Q590R5","Q585_Q590R5"
"Q585_Q590R6","Q585_Q590R6"
"Q591_Q596R1","Q591_Q596R1"
"Q591_Q596R2","Q591_Q596R2"
"Q591_Q596R3","Q591_Q596R3"
"Q591_Q596R4","Q591_Q596R4"
"Q591_Q596R5","Q591_Q596R5"
"Q591_Q596R6","Q591_Q596R6"
"Q597_Q602R1","Q597_Q602R1"
"Q597_Q602R2","Q597_Q602R2"
"Q597_Q602R3","Q597_Q602R3"
"Q597_Q602R4","Q597_Q602R4"
"Q597_Q602R5","Q597_Q602R5"
"Q597_Q602R6","Q597_Q602R6"
"Q603R1","Q603"
"Q603R2","Q603"
"Q603R3","Q603"
"Q603R4","Q603"
"Q603R5","Q603"
"Q603R6","Q603"
"Q603R7","Q603"
"Q603R8","Q603"
"Q603R9","Q603"
"Q603R10","Q603"
"Q604_Q605R1","Q604_Q605R1"
"Q604_Q605R2","Q604_Q605R2"
"Q606R1","Q606"
"Q606R2","Q606"
"Q606R3","Q606"
"Q606R4","Q606"
"Q606R5","Q606"
"Q606R6","Q606"
"Q607_Q610R1","Q607_Q610R1"
"Q607_Q610R2","Q607_Q610R2"
"Q607_Q610R3","Q607_Q610R3"
"Q607_Q610R4","Q607_Q610R4"
"Q611","Q611"
"Q613","Q613"
"Q614","Q614"
"Q615","Q615"
"Q616_Q618R1","Q616_Q618R1"
"Q616_Q618R2","Q616_Q618R2"
"Q616_Q618R3","Q616_Q618R3"
"Q619_Q626R1","Q619_Q626R1"
"Q619_Q626R2","Q619_Q626R2"
"Q619_Q626R3","Q619_Q626R3"
"Q619_Q626R4","Q619_Q626R4"
"Q619_Q626R5","Q619_Q626R5"
"Q619_Q626R6","Q619_Q626R6"
"Q619_Q626R7","Q619_Q626R7"
"Q619_Q626R8","Q619_Q626R8"
"Q627","Q627"
"Q628","Q628"
"Q629R1","Q629"
"Q629R2","Q629"
"Q629R3","Q629"
"Q629R4","Q629"
