"spec","item","variable","response","refits","n_min","n_max","mean_shap","minimum","maximum","positive_refits","negative_refits"
"diagnostic","Q111R4","Q111R4","(2) $51 to $100",3,36,41,9.31476231045673e-05,-2.14286876861201e-05,0.000244316571829912,2,1
"diagnostic","Q111R4","Q111R4","(3) $101 to $500",3,40,55,0.000117621817629888,-2.92476969882683e-05,0.000300415194362527,2,1
"diagnostic","Q111R4","Q111R4","(5) More than $500",3,50,59,0.000120097798727975,-1.96288889569788e-05,0.000209634400056888,2,1
"diagnostic","Q111R5","Q111R5","(0) None",3,376,393,3.01979313248244e-06,-2.05492000788151e-05,1.54401118963727e-05,2,1
"diagnostic","Q111R5","Q111R5","(1) $50 or less",3,73,84,0.000163116297917352,-6.88263717116162e-05,0.000540820002272468,2,1
"diagnostic","Q111R5","Q111R5","(2) $51 to $100",3,29,34,-3.74567822061574e-06,-1.76463265779714e-05,1.3388444841763e-05,1,2
"diagnostic","Q111R5","Q111R5","(3) $101 to $500",3,15,18,-0.000147399090784562,-0.000436491993748478,0.000170884416649505,1,2
"diagnostic","Q111R5","Q111R5","(5) More than $500",1,11,11,-7.41465324500187e-05,-7.41465324500187e-05,-7.41465324500187e-05,0,1
"diagnostic","Q116","Q116R1","(1) 1",3,93,96,0.000107900701425373,7.28906804309508e-05,0.000127926485148286,3,0
"diagnostic","Q116","Q116R1","(2) 2",3,50,57,-7.11356841018207e-05,-0.000222673114372919,2.89735390823694e-05,1,2
"diagnostic","Q116","Q116R1","(3) 3",3,20,33,2.15663076745099e-05,-0.000217906376060866,0.000280050815442114,2,1
"diagnostic","Q116","Q116R1","Not observed / routed",3,342,358,-7.41873010086386e-05,-8.47578183089001e-05,-5.64581651761719e-05,0,3
"diagnostic","Q116","Q116R10","(1) 1",2,10,10,-0.000358201319774748,-0.000544874541652941,-0.000171528097896556,0,2
"diagnostic","Q116","Q116R10","(2) 2",3,19,21,0.000211817480972374,-0.000127049846715176,0.000783679378630414,1,2
"diagnostic","Q116","Q116R10","(3) 3",3,21,28,0.000196381007444711,2.52621160911006e-05,0.000497486960927034,3,0
"diagnostic","Q116","Q116R10","Not observed / routed",3,463,471,-4.78940420234489e-05,-9.5303151419107e-05,1.32175673673906e-05,1,2
"diagnostic","Q116","Q116R2","(1) 1",3,64,91,8.18065245745934e-05,6.58671714132792e-05,0.000112833566596565,3,0
"diagnostic","Q116","Q116R2","(2) 2",3,61,73,-1.96519556429555e-06,-0.000131329295667399,8.73641578194651e-05,2,1
"diagnostic","Q116","Q116R2","(3) 3",3,36,41,0.000240472346658212,-5.3816538479437e-05,0.000480140889923523,2,1
"diagnostic","Q116","Q116R2","Not observed / routed",3,329,343,-9.67071755048444e-05,-0.000126005645910663,-6.52277374924759e-05,0,3
"diagnostic","Q116","Q116R3","(1) 1",2,10,17,-6.37800616708518e-05,-7.25311253209527e-05,-5.50289980207509e-05,0,2
"diagnostic","Q116","Q116R3","(2) 2",3,19,28,2.43203619801365e-05,-9.69538479204718e-05,0.00019878195897487,1,2
"diagnostic","Q116","Q116R3","(3) 3",3,28,40,-1.7364126414971e-05,-0.000241093627333466,0.000230722282018419,1,2
"diagnostic","Q116","Q116R3","Not observed / routed",3,443,464,-3.65900968773397e-05,-8.14220648324611e-05,1.71565451579891e-05,1,2
"diagnostic","Q116","Q116R4","(1) 1",3,15,20,-0.000564636636434567,-0.00198763753821007,0.00041334139561722,1,2
"diagnostic","Q116","Q116R4","(2) 2",3,20,24,0.000283145719734558,6.13165605007764e-05,0.000546107542439074,3,0
"diagnostic","Q116","Q116R4","(3) 3",3,23,23,0.000185348033220444,-1.36321097344943e-05,0.000411560717671795,2,1
"diagnostic","Q116","Q116R4","Not observed / routed",3,458,462,-4.54648101083805e-05,-7.90747114332788e-05,2.19320592510501e-06,1,2
"diagnostic","Q116","Q116R5","(1) 1",1,14,14,0.000331086906244624,0.000331086906244624,0.000331086906244624,1,0
"diagnostic","Q116","Q116R5","(2) 2",2,17,20,7.45391651049051e-05,4.99499809419403e-05,9.91283492678699e-05,2,0
"diagnostic","Q116","Q116R5","(3) 3",2,25,25,-7.56493200584198e-05,-0.000229725872816267,7.84272326994277e-05,1,1
"diagnostic","Q116","Q116R5","Not observed / routed",2,465,468,-7.3195043714376e-05,-9.02552503011498e-05,-5.61348371276021e-05,0,2
"diagnostic","Q116","Q116R7","(1) 1",3,14,22,0.000167380187667129,1.99932515543169e-05,0.000446395726357403,3,0
"diagnostic","Q116","Q116R7","(2) 2",3,19,23,0.000224675450559419,8.76104019600938e-06,0.00040495154638371,3,0
"diagnostic","Q116","Q116R7","(3) 3",3,26,30,5.07864972947957e-05,-3.03190911776503e-05,9.55481729096199e-05,2,1
"diagnostic","Q116","Q116R7","Not observed / routed",3,451,455,-6.15385415638332e-05,-0.00010542295755377,-3.39530831310711e-05,0,3
"diagnostic","Q116","Q116R8","(1) 1",2,11,13,0.000103139217537762,-5.48627978772092e-05,0.000261141232952733,1,1
"diagnostic","Q116","Q116R8","(2) 2",2,15,19,-6.16674625664108e-05,-0.000139226481306058,1.58915561732368e-05,1,1
"diagnostic","Q116","Q116R8","(3) 3",2,27,28,-0.000127339452149493,-0.000168917533752762,-8.5761370546225e-05,0,2
"diagnostic","Q116","Q116R8","Not observed / routed",2,462,467,-7.38630837303555e-06,-3.41605537730686e-05,1.93879370269975e-05,1,1
"diagnostic","Q117R1","Q117R1","(1) Very Low Priority",3,39,42,0.000168024711483297,5.22138264925258e-05,0.000229370197277903,3,0
"diagnostic","Q117R1","Q117R1","(2) Low Priority",3,88,97,-8.91797443066578e-06,-1.39099397883383e-05,-5.61047616702462e-06,0,3
"diagnostic","Q117R1","Q117R1","(3) High Priority",3,182,195,-1.1229707131635e-05,-1.81268635006051e-05,-7.23973398093962e-06,0,3
"diagnostic","Q117R1","Q117R1","(4) Very High Priority",3,195,208,-1.18245376685924e-05,-1.68741730702597e-05,-7.79480625729792e-06,0,3
"diagnostic","Q117R10","Q117R10","(1) Very Low Priority",3,18,24,-9.51232051314268e-05,-0.000299399975585272,1.40303601909918e-05,1,1
"diagnostic","Q117R10","Q117R10","(2) Low Priority",3,73,82,0.000143729840773746,0,0.000293709129443192,2,0
"diagnostic","Q117R10","Q117R10","(3) High Priority",3,231,235,-2.19957502069552e-05,-5.79761416199048e-05,0,0,2
"diagnostic","Q117R10","Q117R10","(4) Very High Priority",3,188,193,-7.75486787951251e-06,-1.22985375902694e-05,0,0,2
"diagnostic","Q117R11","Q117R11","(1) Very Low Priority",3,56,63,1.65630190133615e-05,-6.36767281748848e-05,0.000113365785214969,1,1
"diagnostic","Q117R11","Q117R11","(2) Low Priority",3,107,118,7.29611986971981e-05,0,0.000151573222594057,2,0
"diagnostic","Q117R11","Q117R11","(3) High Priority",3,179,196,-1.23887361063097e-05,-2.603351215028e-05,0,0,2
"diagnostic","Q117R11","Q117R11","(4) Very High Priority",3,155,168,-0.000103643820764922,-0.000280031064538598,0,0,2
"diagnostic","Q117R12","Q117R12","(1) Very Low Priority",3,43,67,3.65589932152457e-06,0,1.03810612290612e-05,2,0
"diagnostic","Q117R12","Q117R12","(2) Low Priority",3,117,144,8.78051615475638e-06,-7.68878933060655e-05,0.000103229441770335,1,1
"diagnostic","Q117R12","Q117R12","(3) High Priority",3,158,179,-4.12852499920099e-06,-2.4363601538771e-05,1.1978026541168e-05,1,1
"diagnostic","Q117R12","Q117R12","(4) Very High Priority",3,158,180,2.30840775746084e-06,-1.10840034534557e-05,1.80092267258382e-05,1,1
"diagnostic","Q117R13","Q117R13","(1) Very Low Priority",3,65,79,3.40971722915557e-05,-3.52411359514098e-05,0.000160214522382272,1,2
"diagnostic","Q117R13","Q117R13","(2) Low Priority",3,95,101,0.000222269971301415,9.5754604490602e-05,0.000286296402017288,3,0
"diagnostic","Q117R13","Q117R13","(3) High Priority",3,158,190,-0.000133207420324572,-0.000277610516848899,-5.60304750950698e-05,0,3
"diagnostic","Q117R13","Q117R13","(4) Very High Priority",3,171,188,-3.94071328503705e-05,-6.41610514010548e-05,-2.63871670713541e-05,0,3
"diagnostic","Q117R2","Q117R2","(1) Very Low Priority",3,56,66,3.5198910192615e-06,-2.14826873513843e-05,2.50768047755673e-05,2,1
"diagnostic","Q117R2","Q117R2","(2) Low Priority",3,151,192,2.39788610950844e-05,5.62695602469256e-06,4.72574415435866e-05,3,0
"diagnostic","Q117R2","Q117R2","(3) High Priority",3,166,194,-3.57584822661701e-05,-5.183525313839e-05,-1.60900318226094e-05,0,3
"diagnostic","Q117R2","Q117R2","(4) Very High Priority",3,107,111,2.37346860255547e-05,1.50375428691179e-05,4.01674363902835e-05,3,0
"diagnostic","Q117R3","Q117R3","(1) Very Low Priority",3,259,278,-5.92010013205575e-05,-9.13286774151782e-05,-3.91746053132513e-05,0,3
"diagnostic","Q117R3","Q117R3","(2) Low Priority",3,119,134,5.87531479209017e-06,-3.05970417370515e-05,4.33846860461105e-05,2,1
"diagnostic","Q117R3","Q117R3","(3) High Priority",3,56,75,-6.8336103961019e-05,-0.000156986071694574,-1.20857782939805e-05,0,3
"diagnostic","Q117R3","Q117R3","(4) Very High Priority",3,53,68,0.000203541875639567,6.27426826033363e-05,0.000311373083059626,3,0
"diagnostic","Q117R4","Q117R4","(1) Very Low Priority",3,37,47,9.91267868509378e-05,0,0.000297380360552813,1,0
"diagnostic","Q117R4","Q117R4","(2) Low Priority",3,91,102,-2.19594491566628e-07,-6.58783474699884e-07,0,0,1
"diagnostic","Q117R4","Q117R4","(3) High Priority",3,189,201,-2.47889721890014e-05,-7.43669165670043e-05,0,0,1
"diagnostic","Q117R4","Q117R4","(4) Very High Priority",3,183,192,3.34421028698754e-06,0,1.00326308609626e-05,1,0
"diagnostic","Q117R5","Q117R5","(1) Very Low Priority",3,207,216,3.82559203734918e-06,0,1.14767761120475e-05,1,0
"diagnostic","Q117R5","Q117R5","(2) Low Priority",3,140,149,4.73446645741481e-06,0,1.42033993722444e-05,1,0
"diagnostic","Q117R5","Q117R5","(3) High Priority",3,91,117,-1.85176832576642e-05,-5.55530497729925e-05,0,0,1
"diagnostic","Q117R5","Q117R5","(4) Very High Priority",3,57,65,4.98742426750878e-06,0,1.49622728025263e-05,1,0
"diagnostic","Q117R6","Q117R6","(1) Very Low Priority",3,13,18,1.78058263633788e-06,0,5.34174790901364e-06,1,0
"diagnostic","Q117R6","Q117R6","(2) Low Priority",3,48,59,1.80707939102337e-06,0,5.42123817307012e-06,1,0
"diagnostic","Q117R6","Q117R6","(3) High Priority",3,218,236,-3.11651877541927e-06,-9.34955632625782e-06,0,0,1
"diagnostic","Q117R6","Q117R6","(4) Very High Priority",3,213,242,2.23234162682602e-06,0,6.69702488047806e-06,1,0
"diagnostic","Q117R7","Q117R7","(1) Very Low Priority | S2_RACE_PRIME: (1) White",3,29,41,-2.19308286390755e-05,-4.05534369247055e-05,-8.76673624628704e-06,0,3
"diagnostic","Q117R7","Q117R7","(1) Very Low Priority | S2_RACE_PRIME: (2) Hispanic or Latino",3,92,123,-3.3103029645738e-05,-4.67685982058865e-05,-1.09875513495513e-05,0,3
"diagnostic","Q117R7","Q117R7","(2) Low Priority | S2_RACE_PRIME: (1) White",3,26,35,-2.40210743543294e-05,-3.65367271722184e-05,-9.98736365426666e-06,0,3
"diagnostic","Q117R7","Q117R7","(2) Low Priority | S2_RACE_PRIME: (2) Hispanic or Latino",3,162,188,-1.36856213732757e-06,-4.0826612083992e-05,4.87337354230595e-05,1,2
"diagnostic","Q117R7","Q117R7","(3) High Priority | S2_RACE_PRIME: (2) Hispanic or Latino",3,88,112,-1.79702388019244e-05,-4.25283469529551e-05,-1.56026250114691e-06,0,3
"diagnostic","Q117R7","Q117R7","(4) Very High Priority | S2_RACE_PRIME: (2) Hispanic or Latino",3,49,54,0.000100473620287172,6.32671561862973e-07,0.000174938561716512,3,0
"diagnostic","Q117R8","Q117R8","(1) Very Low Priority",3,54,61,0.000197247961934897,0.000134905584934363,0.000252544242775417,3,0
"diagnostic","Q117R8","Q117R8","(2) Low Priority",3,103,119,1.75420601154308e-06,-2.29889321503419e-05,2.25519691877296e-05,2,1
"diagnostic","Q117R8","Q117R8","(3) High Priority",3,161,178,-5.46882229329523e-05,-8.32179465320069e-05,-2.4730370323988e-05,0,3
"diagnostic","Q117R8","Q117R8","(4) Very High Priority",3,179,191,-1.0344503636995e-05,-2.3691218541532e-05,6.68810905886142e-07,1,2
"diagnostic","Q117R9","Q117R9","(1) Very Low Priority",1,11,11,0,0,0,0,0
"diagnostic","Q117R9","Q117R9","(2) Low Priority",3,37,50,2.39864532151601e-05,-6.0126289631782e-05,0.000132085649277262,1,1
"diagnostic","Q117R9","Q117R9","(3) High Priority",3,192,222,1.28666540960037e-05,0,2.83637558836973e-05,2,0
"diagnostic","Q117R9","Q117R9","(4) Very High Priority",3,251,275,-1.59052605679714e-06,-1.60543622703524e-05,1.1282784099961e-05,1,1
"diagnostic","Q13","Q13","(1) Voted by absentee ballot using U.S. Mail",3,153,164,-2.50536616409727e-05,-3.47091096428168e-05,-9.31925711622077e-06,0,3
"diagnostic","Q13","Q13","(2) Voted by absentee ballot using ballot drop box",3,85,94,-7.92601816219116e-05,-0.000129954243301103,-3.68929142175062e-05,0,3
"diagnostic","Q13","Q13","(3) Voted early in person",3,155,170,5.09713083328566e-05,1.05248897676475e-06,7.69236282767134e-05,3,0
"diagnostic","Q13","Q13","(4) Voted in person on Election Day",3,100,115,1.56559257758558e-05,-2.4046373411017e-05,8.2844313434193e-05,1,2
"diagnostic","Q130","Q130","(1) President Trump ignored the early warning signs of coronavirus and because of his mismanagement, millions of Americans b",3,356,359,-0.0198259266360326,-0.025909449704115,-0.0113447900263948,0,3
"diagnostic","Q130","Q130","(2) The coronavirus is unfortunate, but there is nothing that President Trump could have done differently to limit the sprea",3,162,165,0.0453813021098681,0.0212551886185205,0.0618570497771769,3,0
"diagnostic","Q131R1","Q131R1","(1) Strongly support",3,166,178,-1.52116356053685e-05,-4.46697475738123e-05,1.8180779821458e-06,1,2
"diagnostic","Q131R1","Q131R1","(2) Somewhat support",3,112,125,-5.8547182413117e-06,-5.42971413207796e-05,3.6549710631677e-05,2,1
"diagnostic","Q131R1","Q131R1","(3) Neither support or oppose",3,105,129,-1.26329387541129e-05,-4.96862576119344e-05,1.31251946713643e-05,1,2
"diagnostic","Q131R1","Q131R1","(4) Somewhat oppose",3,41,50,-6.37355580284761e-05,-0.0001466527970133,-8.60567911151877e-07,0,3
"diagnostic","Q131R1","Q131R1","(5) Strongly oppose",3,70,73,0.000177219461800875,-6.14118914244231e-07,0.000374890378097746,2,1
"diagnostic","Q131R10","Q131R10","(1) Strongly support",3,70,81,-3.03067947719248e-05,-4.69923891282613e-05,-2.00729983200772e-05,0,3
"diagnostic","Q131R10","Q131R10","(2) Somewhat support",3,42,48,-4.40440907974436e-05,-0.000111427689064273,2.73252636971352e-05,1,2
"diagnostic","Q131R10","Q131R10","(3) Neither support or oppose",3,80,95,-0.00014356308803648,-0.000223894596162453,-0.000103211839488173,0,3
"diagnostic","Q131R10","Q131R10","(4) Somewhat oppose",3,12,16,0.000208417385336492,-0.000430930010601295,0.000575907932100243,2,1
"diagnostic","Q131R10","Q131R10","(5) Strongly oppose",3,46,49,0.000548778744676161,0.000175248918353652,0.00112079660542252,3,0
"diagnostic","Q131R10","Q131R10","Not observed / routed",3,241,269,-2.6203929072457e-05,-3.64888714237763e-05,-1.67454629029413e-05,0,3
"diagnostic","Q131R11","Q131R11","(1) Strongly support",3,82,107,2.96264306468563e-05,-5.61289107765356e-05,0.000131410661487168,2,1
"diagnostic","Q131R11","Q131R11","(2) Somewhat support",3,52,70,-5.6683566995235e-05,-0.000176978232232737,1.49385922649044e-05,1,2
"diagnostic","Q131R11","Q131R11","(3) Neither support or oppose",3,49,58,7.43788989049022e-07,-4.16870087624619e-05,2.21077195575435e-05,2,1
"diagnostic","Q131R11","Q131R11","(4) Somewhat oppose",2,11,14,9.70455511712052e-06,-1.64351636240129e-05,3.5844273858254e-05,1,1
"diagnostic","Q131R11","Q131R11","(5) Strongly oppose",3,20,33,0.000172831855980887,-0.000676585220165528,0.00127759549586959,1,2
"diagnostic","Q131R11","Q131R11","Not observed / routed",3,252,280,-1.42644521793253e-05,-3.74233232882189e-05,1.97200856617502e-05,1,2
"diagnostic","Q131R12","Q131R12","(1) Strongly support",3,95,130,0.000193241062363152,9.59099000748761e-05,0.000309767925010687,3,0
"diagnostic","Q131R12","Q131R12","(2) Somewhat support",3,57,70,0.000104479481024949,8.77753240135503e-06,0.000247808705690459,3,0
"diagnostic","Q131R12","Q131R12","(3) Neither support or oppose",3,50,54,0.000111838520146841,3.42683812262264e-05,0.000231085279382707,3,0
"diagnostic","Q131R12","Q131R12","(4) Somewhat oppose",3,15,22,-0.0040514451426142,-0.00781603782025907,-0.00133203658569513,0,3
"diagnostic","Q131R12","Q131R12","(5) Strongly oppose",3,15,19,0.000228651417032135,4.60648401560413e-05,0.000387714942270591,3,0
"diagnostic","Q131R12","Q131R12","Not observed / routed",3,241,269,0.000136620339809088,4.76486267959771e-05,0.000241647455439516,3,0
"diagnostic","Q131R13","Q131R13","(1) Strongly support",3,62,73,-1.89386554116086e-06,-2.92680735201886e-05,1.32624667726734e-05,2,1
"diagnostic","Q131R13","Q131R13","(2) Somewhat support",3,67,82,-6.31609280010688e-06,-3.90379695463045e-05,1.26656336412585e-05,2,1
"diagnostic","Q131R13","Q131R13","(3) Neither support or oppose",3,62,69,7.50745445022319e-05,1.46206780526707e-05,0.0001938376596164,3,0
"diagnostic","Q131R13","Q131R13","(4) Somewhat oppose",3,18,19,-7.95888050424936e-05,-0.000221860731481284,1.16430723891516e-05,1,2
"diagnostic","Q131R13","Q131R13","(5) Strongly oppose",3,26,28,-0.000175198390987005,-0.00051836272466022,1.82538860681082e-05,1,2
"diagnostic","Q131R13","Q131R13","Not observed / routed",3,252,280,-1.88513559917376e-06,-3.64650254095817e-05,1.55767387232171e-05,2,1
"diagnostic","Q131R2","Q131R2","(1) Strongly support",3,115,125,-0.000108204637323167,-0.000166634955168841,-4.42135140906928e-05,0,3
"diagnostic","Q131R2","Q131R2","(2) Somewhat support",3,48,60,-5.74455228271503e-05,-9.24343423226425e-05,-3.78581251809274e-05,0,3
"diagnostic","Q131R2","Q131R2","(3) Neither support or oppose",3,42,50,-4.14459662359257e-05,-0.000130402552128264,4.28605311447696e-05,1,2
"diagnostic","Q131R2","Q131R2","(4) Somewhat oppose",3,13,19,0.00035977603101219,-2.94758347554725e-05,0.000907996897047122,2,1
"diagnostic","Q131R2","Q131R2","(5) Strongly oppose",3,28,36,0.000995639657432617,0.000413879076362094,0.00129365280465843,3,0
"diagnostic","Q131R2","Q131R2","Not observed / routed",3,241,269,-3.01551867361107e-05,-3.69247841994113e-05,-2.16357823888573e-05,0,3
"diagnostic","Q131R3","Q131R3","(1) Strongly support",3,139,161,-7.16505976186852e-05,-0.000122620294143265,-4.33543953565581e-05,0,3
"diagnostic","Q131R3","Q131R3","(2) Somewhat support",3,35,45,-3.54040108490102e-05,-4.1905829967254e-05,-2.52979511354628e-05,0,3
"diagnostic","Q131R3","Q131R3","(3) Neither support or oppose",3,31,39,0.000115028934047295,-3.71481716133686e-05,0.000253601098685022,2,1
"diagnostic","Q131R3","Q131R3","(4) Somewhat oppose",2,10,12,0.00077930442909155,0.000555937429825963,0.00100267142835714,2,0
"diagnostic","Q131R3","Q131R3","(5) Strongly oppose",3,18,19,0.000298845833342021,0.000182619103535948,0.000429344243608417,3,0
"diagnostic","Q131R3","Q131R3","Not observed / routed",3,252,280,-2.50736952305585e-05,-4.26831167437738e-05,-7.02847815224028e-06,0,3
"diagnostic","Q131R4","Q131R4","(1) Strongly support",3,113,137,0.0001069830493074,1.99074045181668e-05,0.000185397193411981,3,0
"diagnostic","Q131R4","Q131R4","(2) Somewhat support",3,62,71,-0.000308051519293825,-0.00048033550996642,-6.84081649256713e-05,0,3
"diagnostic","Q131R4","Q131R4","(3) Neither support or oppose",3,38,40,0.000104159765282137,-6.03946195344807e-05,0.00019103552503416,2,1
"diagnostic","Q131R4","Q131R4","(4) Somewhat oppose",2,10,13,7.89428684215027e-05,-4.30140954967532e-05,0.000200899832339758,1,1
"diagnostic","Q131R4","Q131R4","(5) Strongly oppose",3,22,28,0.000113751180460382,1.96606269506894e-05,0.000269716129595909,3,0
"diagnostic","Q131R4","Q131R4","Not observed / routed",3,241,269,-6.71827683126336e-07,-6.7551817251216e-05,6.21820837234461e-05,2,1
"diagnostic","Q131R5","Q131R5","(1) Strongly support",3,68,83,-0.000101290305626491,-0.000153616599731924,-1.68835840524944e-05,0,3
"diagnostic","Q131R5","Q131R5","(2) Somewhat support",3,53,83,-1.41431455670371e-05,-1.68869479474094e-05,-1.08536846410955e-05,0,3
"diagnostic","Q131R5","Q131R5","(3) Neither support or oppose",3,56,60,-1.29655090184382e-05,-1.84556910642423e-05,-4.89359068661436e-06,0,3
"diagnostic","Q131R5","Q131R5","(4) Somewhat oppose",3,15,21,6.36629124923207e-05,-0.000131523049841156,0.000177245256690508,2,1
"diagnostic","Q131R5","Q131R5","(5) Strongly oppose",3,28,35,0.000383016961700188,0.000106267240660602,0.000878612806123501,3,0
"diagnostic","Q131R5","Q131R5","Not observed / routed",3,252,280,-1.16764339205098e-05,-1.35449487423264e-05,-8.10371371485676e-06,0,3
"diagnostic","Q131R6","Q131R6","(1) Strongly support",3,116,132,-9.49705489915322e-06,-1.46691878282982e-05,-5.89933069445377e-06,0,3
"diagnostic","Q131R6","Q131R6","(2) Somewhat support",3,44,61,-0.000165382556169063,-0.000228914117627914,-9.67262041547229e-05,0,3
"diagnostic","Q131R6","Q131R6","(3) Neither support or oppose",3,43,48,4.53147260203878e-07,-1.30806506594487e-05,1.05205844486259e-05,2,1
"diagnostic","Q131R6","Q131R6","(4) Somewhat oppose",3,12,18,0.000198093284455265,1.68180302473229e-05,0.000356672438376951,3,0
"diagnostic","Q131R6","Q131R6","(5) Strongly oppose",3,28,37,0.000495236569686619,3.74245504341817e-05,0.00110404768818959,3,0
"diagnostic","Q131R6","Q131R6","Not observed / routed",3,241,269,5.77143477638515e-06,-9.63013410389069e-06,2.21794411273626e-05,2,1
"diagnostic","Q131R7","Q131R7","(1) Strongly support",3,84,118,-0.000236716528502466,-0.000513715557513539,1.27854229586743e-05,1,2
"diagnostic","Q131R7","Q131R7","(2) Somewhat support",3,46,54,-1.97219964603529e-05,-9.1564086519682e-05,5.49969968874948e-05,1,2
"diagnostic","Q131R7","Q131R7","(3) Neither support or oppose",3,43,52,8.93067666829948e-05,-2.37241364109466e-05,0.000287170018361935,2,1
"diagnostic","Q131R7","Q131R7","(4) Somewhat oppose",3,13,20,0.000116912190930345,7.09897757548655e-06,0.000239191692897452,3,0
"diagnostic","Q131R7","Q131R7","(5) Strongly oppose",3,33,47,0.000341836366830622,2.6259850925651e-05,0.00065438613269825,3,0
"diagnostic","Q131R7","Q131R7","Not observed / routed",3,252,280,-3.0115840794051e-05,-4.40635537794623e-05,-3.81442073073952e-06,0,3
"diagnostic","Q131R8","Q131R8","(1) Strongly support",3,99,124,-0.000128168083390278,-0.000255061411668864,-4.90503275929002e-05,0,3
"diagnostic","Q131R8","Q131R8","(2) Somewhat support",3,65,73,-2.80317831199858e-05,-6.01364867754944e-05,1.70141901066999e-05,1,2
