"variable","item","verified_short_label","construct","wording_source","codebook_pdf_page","source_type","appended_context","routing_notes","missingness_type","sample_system_missing","base_decision","model1","model2","model3","exclusion_note","label_review","raw_observed","measurement","questionnaire_item","questionnaire_pdf_page"
"S2_RACER7","S2_RACE","S2_RACER7","S2_Racer7: Native Hawaiian - In order to make sure we have a representative samp","ICPSR variable label; may be truncated",7,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_RACER8","S2_RACE","S2_RACER8","S2_Racer8: Not Hawaiian, but other Pacific Islander - In order to make sure we h","ICPSR variable label; may be truncated",8,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_RACE_PRIME","S2_RACE_PRIME","S2_RACE_PRIME","S2_Race_Prime: Even if they are all important, which of these would you consider","ICPSR variable label; may be truncated",8,"Survey item or survey routing field",FALSE,"Condition joined: S2_RACE_PRIME","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"MAIN_ETH_QUOTA","MAIN_ETH_QUOTA","MAIN_ETH_QUOTA","Main_Eth_quota: Hold Ethnicity for single quota;","ICPSR variable label; may be truncated",9,"Administration / derived field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Outcome, selection, administration, weights or duplicate",FALSE,FALSE,FALSE,"Outcome, selection, administration, weights or duplicate","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_HISPANICR1","S2_HISPANIC","S2_HISPANICR1","S2_Hispanicr1: No, not Hispanic or Latino - Do you consider yourself, or your fa","ICPSR variable label; may be truncated",9,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",12968,"Original labelled categories or source type",NA,NA
"S2_HISPANICR2","S2_HISPANIC","S2_HISPANICR2","S2_Hispanicr2: Yes, myself - Do you consider yourself, or your family ancestry t","ICPSR variable label; may be truncated",9,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",12968,"Original labelled categories or source type",NA,NA
"S2_HISPANICR3","S2_HISPANIC","S2_HISPANICR3","S2_Hispanicr3: Yes, one of my parents - Do you consider yourself, or your family","ICPSR variable label; may be truncated",10,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",12968,"Original labelled categories or source type",NA,NA
"S2_HISPANICR4","S2_HISPANIC","S2_HISPANICR4","S2_Hispanicr4: Yes, one of my grandparents - Do you consider yourself, or your f","ICPSR variable label; may be truncated",10,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",12968,"Original labelled categories or source type",NA,NA
"S2_HISPANICR5","S2_HISPANIC","S2_HISPANICR5","S2_Hispanicr5: Yes, another more distant relative - Do you consider yourself, or","ICPSR variable label; may be truncated",11,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",12968,"Original labelled categories or source type",NA,NA
"S2_NATIVER1","S2_NATIVE","S2_NATIVER1","S2_Nativer1: No, not Native American - Do you consider yourself, or your family","ICPSR variable label; may be truncated",11,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_NATIVER2","S2_NATIVE","S2_NATIVER2","S2_Nativer2: Yes, myself - Do you consider yourself, or your family ancestry to","ICPSR variable label; may be truncated",11,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_NATIVER3","S2_NATIVE","S2_NATIVER3","S2_Nativer3: Yes, one of my parents - Do you consider yourself, or your family a","ICPSR variable label; may be truncated",12,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_NATIVER4","S2_NATIVE","S2_NATIVER4","S2_Nativer4: Yes, one of my grandparents - Do you consider yourself, or your fam","ICPSR variable label; may be truncated",12,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_NATIVER5","S2_NATIVE","S2_NATIVER5","S2_Nativer5: Yes, another more distant relative - Do you consider yourself, or y","ICPSR variable label; may be truncated",12,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_AFROLAT_TEXT","S2_AFROLAT_TEXT","S2_AFROLAT_TEXT","S2_AfroLat_text: Text for S2_AfroLat","ICPSR variable label; may be truncated",12,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Routing/experiment metadata; joined to response where required",FALSE,FALSE,FALSE,"Routing/experiment metadata; joined to response where required","Code retained; full wording/short label requires review",9394,"Original labelled categories or source type",NA,NA
"S2_AFROLATR1","S2_AFROLAT","S2_AFROLATR1","S2_AfroLatr1: No, not Afro-Latino - Do you identify as Afro-Latino, or being Bla","ICPSR variable label; may be truncated",13,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",9394,"Original labelled categories or source type",NA,NA
"S2_AFROLATR2","S2_AFROLAT","S2_AFROLATR2","S2_AfroLatr2: Yes, myself - Do you identify as Afro-Latino, or being Black with","ICPSR variable label; may be truncated",13,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",9394,"Original labelled categories or source type",NA,NA
"S2_AFROLATR3","S2_AFROLAT","S2_AFROLATR3","S2_AfroLatr3: Yes, one of my parents - Do you identify as Afro-Latino, or being","ICPSR variable label; may be truncated",14,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",9394,"Original labelled categories or source type",NA,NA
"S2_AFROLATR4","S2_AFROLAT","S2_AFROLATR4","S2_AfroLatr4: Yes, one of my grandparents - Do you identify as Afro-Latino, or b","ICPSR variable label; may be truncated",14,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",9394,"Original labelled categories or source type",NA,NA
"S2_AFROLATR5","S2_AFROLAT","S2_AFROLATR5","S2_AfroLatr5: Yes, another more distant relative - Do you identify as Afro-Latin","ICPSR variable label; may be truncated",14,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",9394,"Original labelled categories or source type",NA,NA
"S3","S3","Sexual orientation","S3: Which of the following best represents how you think of yourself?","ICPSR variable label; may be truncated",15,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Original labelled categories or source type",NA,NA
"S3R4OE","S3R4OE","S3R4OE","S3r4oe: Which of the following best represents how you think of yourself? - Some","ICPSR variable label; may be truncated",15,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S3B","S3B","Gender","S3b: What is your gender?","ICPSR variable label; may be truncated",15,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Original labelled categories or source type",NA,NA
"S3BR4OE","S3BR4OE","S3BR4OE","S3br4oe: What is your gender? - Something else (Specify)","ICPSR variable label; may be truncated",16,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S3C","S3C","S3C","S3c: Some people describe themselves as transgender when they experience a diffe","ICPSR variable label; may be truncated",16,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S4","S4","State of residence","S4: Please select your current state of residence.","ICPSR variable label; may be truncated",16,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Original labelled categories or source type",NA,NA
"S5","S5","Birth year","S5: In what year were you born?","ICPSR variable label; may be truncated",18,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Continuous quantity / allocation",NA,NA
"S5_AGE","S5_AGE","S5_AGE","S5_Age: Age categories","ICPSR variable label; may be truncated",20,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Outcome, selection, administration, weights or duplicate",FALSE,FALSE,FALSE,"Outcome, selection, administration, weights or duplicate","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S6","S6","S6","S6: Are you currently registered to vote here in [pipe: S4], or like many people","ICPSR variable label; may be truncated",20,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Outcome, selection, administration, weights or duplicate",FALSE,FALSE,FALSE,"Outcome, selection, administration, weights or duplicate","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S6_NON","S6_NON","S6_NON","S6_non: In 2020 there were 40 million Americans who were NOT registered to vote.","ICPSR variable label; may be truncated",20,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2056,"Outcome, selection, administration, weights or duplicate",FALSE,FALSE,FALSE,"Outcome, selection, administration, weights or duplicate","Code retained; full wording/short label requires review",6317,"Original labelled categories or source type",NA,NA
"S7","S7","S7","S7: Were you born in the...?","ICPSR variable label; may be truncated",21,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S8","S8","S8","S8: Asian Americans come from a diversity of backgrounds. What do you consider t","ICPSR variable label; may be truncated",21,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",3955,"Original labelled categories or source type",NA,NA
"S8R16OE","S8R16OE","S8R16OE","S8r16oe: Asian Americans come from a diversity of backgrounds. What do you consi","ICPSR variable label; may be truncated",22,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"ASIAN_ETH","ASIAN_ETH","ASIAN_ETH","Asian_Eth: Asian Ethnicity","ICPSR variable label; may be truncated",22,"Administration / derived field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Outcome, selection, administration, weights or duplicate",FALSE,FALSE,FALSE,"Outcome, selection, administration, weights or duplicate","Code retained; full wording/short label requires review",3938,"Original labelled categories or source type",NA,NA
"S8_PACIFIC","S8_PACIFIC","S8_PACIFIC","S8_Pacific: Native Hawaiians and Pacific Islanders come from a diversity of back","ICPSR variable label; may be truncated",23,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",432,"Original labelled categories or source type",NA,NA
"S8_PACIFICR8OE","S8_PACIFICR8OE","S8_PACIFICR8OE","S8_Pacificr8oe: Native Hawaiians and Pacific Islanders come from a diversity of","ICPSR variable label; may be truncated",23,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S9","S9","S9","S9: Some African Americans are part of immigrant communities that are newer to A","ICPSR variable label; may be truncated",23,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2012,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",4843,"Original labelled categories or source type",NA,NA
"S9R19OE","S9R19OE","S9R19OE","S9r19oe: Some African Americans are part of immigrant communities that are newer","ICPSR variable label; may be truncated",24,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S10","S10","S10","S10: Hispanics and Latinos have their roots in many different countries in Latin","ICPSR variable label; may be truncated",24,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",4975,"Original labelled categories or source type",NA,NA
"S10R22OE","S10R22OE","S10R22OE","S10r22oe: Hispanics and Latinos have their roots in many different countries in","ICPSR variable label; may be truncated",25,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S10_MEX","S10_MEX","S10_MEX","S10_Mex: Do you consider any part of your or your family ancestry to be Mexican","ICPSR variable label; may be truncated",26,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1813,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",631,"Original labelled categories or source type",NA,NA
"S11","S11","S11","S11: There are 574 federally recognized tribes living within the US, what tribe","ICPSR variable label; may be truncated",26,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1771,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2829,"Original labelled categories or source type",NA,NA
"S11R13OE","S11R13OE","S11R13OE","S11r13oe: There are 574 federally recognized tribes living within the US, what t","ICPSR variable label; may be truncated",27,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S12","S12","S12","S12: Arab, Middle Eastern or North African communities come from diverse backgro","ICPSR variable label; may be truncated",27,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",292,"Original labelled categories or source type",NA,NA
"S12R27OE","S12R27OE","S12R27OE","S12r27oe: Arab, Middle Eastern or North African communities come from diverse ba","ICPSR variable label; may be truncated",28,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S2_M","S2_M","S2_M","S2_M: Do you consider yourself to be mixed race or multiracial?","ICPSR variable label; may be truncated",28,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S13","S13","Education","S13: What is the highest level of education you completed?","ICPSR variable label; may be truncated",28,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Original labelled categories or source type",NA,NA
"S14","S14","S14","S14: When you think about the community that you live in, which comes closest to","ICPSR variable label; may be truncated",29,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"S15","S15","S15","S15: Just to make sure we have a representative sample of people from all across","ICPSR variable label; may be truncated",29,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","Disclosure masked",0,"ICPSR disclosure-masked field",FALSE,FALSE,FALSE,"ICPSR disclosure-masked field","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q58R1","Q58","Q58R1","Q58r1: Catholic - When it comes to religion, do you consider yourself to be?","ICPSR variable label; may be truncated",30,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17532,"Original labelled categories or source type",NA,NA
"Q58R2","Q58","Q58R2","Q58r2: Protestant (such as Methodist, Presbyterian, Assembly of God, Baptist, Lu","ICPSR variable label; may be truncated",30,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17532,"Original labelled categories or source type",NA,NA
"Q58R3","Q58","Q58R3","Q58r3: Other Christian - When it comes to religion, do you consider yourself to","ICPSR variable label; may be truncated",30,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17532,"Original labelled categories or source type",NA,NA
"Q58R4","Q58","Q58R4","Q58r4: Jewish - When it comes to religion, do you consider yourself to be?","ICPSR variable label; may be truncated",31,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17532,"Original labelled categories or source type",NA,NA
"Q58R5","Q58","Q58R5","Q58r5: Muslim - When it comes to religion, do you consider yourself to be?","ICPSR variable label; may be truncated",31,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17532,"Original labelled categories or source type",NA,NA
