"seed","stage","variable","response","training_n"
202001,"inner","Q258","(2) Very likely | Q258SPLIT: (1) women",4
202001,"inner","Q258","(2) Very likely | Q258SPLIT: (2) Black women",6
202001,"inner","Q258","(2) Very likely | Q258SPLIT: (4) minority",3
202001,"inner","Q258","(4) Slightly likely | Q258SPLIT: (1) women",8
202001,"inner","Q258","(4) Slightly likely | Q258SPLIT: (2) Black women",7
202001,"inner","Q258","(4) Slightly likely | Q258SPLIT: (3) Black",6
202001,"inner","Q258","(4) Slightly likely | Q258SPLIT: (4) minority",8
202001,"inner","Q258","(5) Not at all likely | Q258SPLIT: (1) women",2
202001,"inner","Q258","(5) Not at all likely | Q258SPLIT: (2) Black women",8
202001,"inner","Q258","(5) Not at all likely | Q258SPLIT: (3) Black",3
202001,"inner","Q258","(5) Not at all likely | Q258SPLIT: (4) minority",3
202001,"inner","Q261","(09) 9",7
202001,"inner","Q262","(4) Yes, tribe specific blood quantum requirement less than 1/8",8
202001,"inner","Q264","(6) Two to three times a week",6
202001,"inner","Q265","(7) Weekly",4
202001,"inner","Q267","(4) Dark brown",3
202001,"inner","Q267","(5) Very dark brown",2
202001,"inner","Q268","(1) Very light | S2_RACE_PRIME: (3) Black or African American",2
202001,"inner","Q268","(2) Light | S2_RACE_PRIME: (3) Black or African American",7
202001,"inner","Q268","(3) About the same | S2_RACE_PRIME: (3) Black or African American",9
202001,"inner","Q268","(4) Dark | S2_RACE_PRIME: (3) Black or African American",2
202001,"inner","Q268","(5) Very dark | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q268","(5) Very dark | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q269","(4) Slightly important",8
202001,"inner","Q271","(2) Very important | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q271","(3) Moderately important | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q271","(5) Not at all important | S2_RACE_PRIME: (3) Black or African American",3
202001,"inner","Q287R1","(1) Not close at all | S2_RACE_PRIME: (1) White",3
202001,"inner","Q287R1","(1) Not close at all | S2_RACE_PRIME: (2) Hispanic or Latino",5
202001,"inner","Q287R1","(2) Not very close | S2_RACE_PRIME: (1) White",1
202001,"inner","Q287R1","(5) Very close | S2_RACE_PRIME: (3) Black or African American",4
202001,"inner","Q287R3","(1) Not close at all",6
202001,"inner","Q287R3","(2) Not very close",8
202001,"inner","Q287R6","(1) Not close at all | Q21: (1) Republican | Q23: Condition not recorded",2
202001,"inner","Q287R6","(1) Not close at all | Q21: (2) Democrat | Q23: Condition not recorded",2
202001,"inner","Q287R6","(1) Not close at all | Q21: (3) Independent | Q23: (02) Democrat",2
202001,"inner","Q287R6","(1) Not close at all | Q21: (3) Independent | Q23: (03) Independent",2
202001,"inner","Q287R6","(2) Not very close | Q21: (1) Republican | Q23: Condition not recorded",6
202001,"inner","Q287R6","(2) Not very close | Q21: (3) Independent | Q23: (02) Democrat",3
202001,"inner","Q287R6","(2) Not very close | Q21: (3) Independent | Q23: (03) Independent",4
202001,"inner","Q287R6","(2) Not very close | Q21: (4) Other party | Q23: (04) Other party",1
202001,"inner","Q287R6","(3) Somewhere in the middle | Q21: (3) Independent | Q23: (01) Republican",4
202001,"inner","Q287R6","(3) Somewhere in the middle | Q21: (3) Independent | Q23: (02) Democrat",9
202001,"inner","Q287R6","(3) Somewhere in the middle | Q21: (3) Independent | Q23: (04) Other party",1
202001,"inner","Q287R6","(3) Somewhere in the middle | Q21: (3) Independent | Q23: (88) Don",1
202001,"inner","Q287R6","(3) Somewhere in the middle | Q21: (4) Other party | Q23: (88) Don",3
202001,"inner","Q287R6","(4) Somewhat close | Q21: (3) Independent | Q23: (01) Republican",1
202001,"inner","Q287R6","(4) Somewhat close | Q21: (3) Independent | Q23: (04) Other party",1
202001,"inner","Q287R6","(5) Very close | Q21: (3) Independent | Q23: (01) Republican",4
202001,"inner","Q287R6","(5) Very close | Q21: (3) Independent | Q23: (02) Democrat",9
202001,"inner","Q287R6","(5) Very close | Q21: (3) Independent | Q23: (88) Don",1
202001,"inner","Q287R6","(5) Very close | Q21: (4) Other party | Q23: (04) Other party",1
202001,"inner","Q295R1","0 | S2_RACE_PRIME: (1) White",3
202001,"inner","Q295R1","1 | S2_RACE_PRIME: (1) White",2
202001,"inner","Q295R1","1 | S2_RACE_PRIME: (2) Hispanic or Latino",5
202001,"inner","Q295R1","10 | S2_RACE_PRIME: (1) White",3
202001,"inner","Q295R1","10 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q295R1","100 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q295R1","11 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","11 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","12 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","12 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","13 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","14 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","14 | S2_RACE_PRIME: (2) Hispanic or Latino",5
202001,"inner","Q295R1","15 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","16 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","17 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","18 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","18 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q295R1","19 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","19 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","2 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","20 | S2_RACE_PRIME: (1) White",8
202001,"inner","Q295R1","20 | S2_RACE_PRIME: (3) Black or African American",2
202001,"inner","Q295R1","21 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","21 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q295R1","22 | S2_RACE_PRIME: (2) Hispanic or Latino",6
202001,"inner","Q295R1","23 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q295R1","24 | S2_RACE_PRIME: (2) Hispanic or Latino",6
202001,"inner","Q295R1","25 | S2_RACE_PRIME: (1) White",9
202001,"inner","Q295R1","25 | S2_RACE_PRIME: (3) Black or African American",3
202001,"inner","Q295R1","26 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","27 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","29 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","3 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","30 | S2_RACE_PRIME: (1) White",5
202001,"inner","Q295R1","32 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","32 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","33 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","34 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q295R1","35 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","35 | S2_RACE_PRIME: (2) Hispanic or Latino",7
202001,"inner","Q295R1","36 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","37 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","38 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","4 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","40 | S2_RACE_PRIME: (1) White",5
202001,"inner","Q295R1","41 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","41 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q295R1","43 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","44 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","45 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","45 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","45 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q295R1","46 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","47 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","49 | S2_RACE_PRIME: (1) White",2
202001,"inner","Q295R1","5 | S2_RACE_PRIME: (1) White",3
202001,"inner","Q295R1","5 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","50 | S2_RACE_PRIME: (1) White",2
202001,"inner","Q295R1","50 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q295R1","51 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","6 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","60 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","61 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","63 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","64 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","7 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","70 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q295R1","70 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","75 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","75 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q295R1","8 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","80 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q295R1","87 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q295R1","9 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q295R1","90 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","0 | S2_RACE_PRIME: (1) White",3
202001,"inner","Q301R1","0 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q301R1","1 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","10 | S2_RACE_PRIME: (1) White",5
202001,"inner","Q301R1","100 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","100 | S2_RACE_PRIME: (2) Hispanic or Latino",5
202001,"inner","Q301R1","11 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q301R1","12 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","13 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","14 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","15 | S2_RACE_PRIME: (1) White",3
202001,"inner","Q301R1","16 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","16 | S2_RACE_PRIME: (2) Hispanic or Latino",9
202001,"inner","Q301R1","17 | S2_RACE_PRIME: (2) Hispanic or Latino",8
202001,"inner","Q301R1","18 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","18 | S2_RACE_PRIME: (2) Hispanic or Latino",5
202001,"inner","Q301R1","19 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","2 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q301R1","20 | S2_RACE_PRIME: (1) White",7
202001,"inner","Q301R1","20 | S2_RACE_PRIME: (3) Black or African American",2
202001,"inner","Q301R1","21 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","21 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q301R1","22 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","22 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","24 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q301R1","25 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q301R1","26 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","27 | S2_RACE_PRIME: (1) White",3
202001,"inner","Q301R1","27 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q301R1","28 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q301R1","29 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","30 | S2_RACE_PRIME: (1) White",4
202001,"inner","Q301R1","31 | S2_RACE_PRIME: (2) Hispanic or Latino",4
202001,"inner","Q301R1","32 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","32 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q301R1","33 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","34 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","35 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","35 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","35 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q301R1","36 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q301R1","38 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","39 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","4 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","40 | S2_RACE_PRIME: (2) Hispanic or Latino",6
202001,"inner","Q301R1","42 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","44 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","45 | S2_RACE_PRIME: (2) Hispanic or Latino",3
202001,"inner","Q301R1","45 | S2_RACE_PRIME: (3) Black or African American",1
202001,"inner","Q301R1","5 | S2_RACE_PRIME: (1) White",2
202001,"inner","Q301R1","50 | S2_RACE_PRIME: (1) White",2
202001,"inner","Q301R1","51 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","6 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","6 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","65 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","69 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","7 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","75 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","8 | S2_RACE_PRIME: (2) Hispanic or Latino",2
202001,"inner","Q301R1","80 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","9 | S2_RACE_PRIME: (1) White",1
202001,"inner","Q301R1","9 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q301R1","90 | S2_RACE_PRIME: (2) Hispanic or Latino",1
202001,"inner","Q315","(1) A lot | Selected identity: (6) $ {Q295.r6.open}",9
202001,"inner","Q315","(1) A lot | Selected identity: (7) $ {Q301.r7.open}",6
202001,"inner","Q315","(1) A lot | Selected identity: (7) Other (Specify)",5
202001,"inner","Q315","(2) Somewhat | Selected identity: (6) $ {Q295.r6.open}",4
202001,"inner","Q315","(2) Somewhat | Selected identity: (7) $ {Q301.r7.open}",2
202001,"inner","Q315","(2) Somewhat | Selected identity: (7) Other (Specify)",4
202001,"inner","Q315","(3) A little bit | Selected identity: (6) (pipe: partyverb)",9
202001,"inner","Q315","(3) A little bit | Selected identity: (6) $ {Q295.r6.open}",1
202001,"inner","Q315","(3) A little bit | Selected identity: (7) Other (Specify)",3
202001,"inner","Q315","(4) Not very much | Selected identity: (5) Your socioeconomic class",6
202001,"inner","Q315","(4) Not very much | Selected identity: (6) $ {Q295.r6.open}",2
202001,"inner","Q315","(4) Not very much | Selected identity: (7) $ {Q301.r7.open}",4
202001,"inner","Q315","(4) Not very much | Selected identity: (7) Other (Specify)",3
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (01) Split 1",4
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (03) Split 3",4
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (04) Split 4",7
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (05) Split 5",9
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (06) Split 6",6
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (07) Split 7",8
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (08) Split 8",9
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (09) Split 9",5
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (10) Split 10",6
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (11) Split 11",3
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (12) Split 12",5
202001,"inner","Q323_BLW","(1) Very unlikely | Q323BLWSPLIT: (13) Split 13",6
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (02) Split 2",7
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (03) Split 3",8
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (04) Split 4",7
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (05) Split 5",8
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (06) Split 6",6
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (07) Split 7",4
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (08) Split 8",6
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (09) Split 9",9
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (11) Split 11",3
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (12) Split 12",5
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (13) Split 13",4
202001,"inner","Q323_BLW","(2) Somewhat unlikely | Q323BLWSPLIT: (14) Split 14",3
202001,"inner","Q323_BLW","(5) Very likely | Q323BLWSPLIT: (06) Split 6",5
202001,"inner","Q323_BLW","(5) Very likely | Q323BLWSPLIT: (11) Split 11",9
202001,"inner","Q323_BLW","(5) Very likely | Q323BLWSPLIT: (12) Split 12",5
202001,"inner","Q323_BLW","(5) Very likely | Q323BLWSPLIT: (13) Split 13",9
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (01) Split 1",4
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (02) Split 2",9
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (03) Split 3",4
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (04) Split 4",5
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (05) Split 5",3
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (06) Split 6",9
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (07) Split 7",5
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (08) Split 8",5
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (09) Split 9",2
202001,"inner","Q324","(1) Not well at all | Q323BLWSPLIT: (10) Split 10",5
