"variable","construct","storage","raw_observed"
"Q1R6","Q1r6: Criminal justice and police reform - On the whole, what are the most impor","factor",17545
"Q1R7","Q1r7: Protecting immigrant rights - On the whole, what are the most important is","factor",17545
"Q1R8","Q1r8: Improving K-12 education and schools - On the whole, what are the most imp","factor",17545
"Q1R9","Q1r9: Lowering taxes - On the whole, what are the most important issues that you","factor",17545
"Q1R10","Q1r10: Decrease government spending - On the whole, what are the most important","factor",17545
"Q1R11","Q1r11: Combating climate change and pollution - On the whole, what are the most","factor",17545
"Q1R12","Q1r12: Creating more affordable housing - On the whole, what are the most import","factor",17545
"Q1R13","Q1r13: Addressing mass shootings and gun safety policy - On the whole, what are","factor",17545
"Q1R14","Q1r14: Lowering the cost of college - On the whole, what are the most important","factor",17545
"Q1R15","Q1r15: Protecting women","factor",17545
"Q1R16","Q1r16: Limiting abortion - On the whole, what are the most important issues that","factor",17545
"Q1R17","Q1r17: Stopping the left-wing Democratic agenda - On the whole, what are the mos","factor",17545
"Q1R18","Q1r18: Stopping the right-wing Republican agenda - On the whole, what are the mo","factor",17545
"Q1R19","Q1r19: Border security to control immigration - On the whole, what are the most","factor",17545
"Q1R20","Q1r20: Combating terrorism - On the whole, what are the most important issues th","factor",17545
"Q1R21","Q1r21: Reducing crime - On the whole, what are the most important issues that yo","factor",17545
"Q1R22","Q1r22: Eliminating voter suppression - On the whole, what are the most important","factor",17545
"Q1R23","Q1r23: Other - On the whole, what are the most important issues that you want th","factor",17545
"Q2R1","Q2r1: Former President Donald Trump - For each of the following people, please i","factor",17545
"Q2R2","Q2r2: Former Vice President Mike Pence - For each of the following people, pleas","factor",17545
"Q2R3","Q2r3: President Joe Biden - For each of the following people, please indicate wh","factor",17545
"Q2R4","Q2r4: Vice President Kamala Harris - For each of the following people, please in","factor",17545
"Q2R5","Q2r5: Former President Barack Obama - For each of the following people, please i","factor",17545
"Q2R6","Q2r6: Former President George W. Bush - For each of the following people, please","factor",17545
"Q2R7","Q2r7: Former Secretary of State Hillary Clinton - For each of the following peop","factor",17545
"Q2R8","Q2r8: Former first-lady Melania Trump - For each of the following people, please","factor",17545
"Q2R9","Q2r9: Former first-lady Michelle Obama - For each of the following people, pleas","factor",17545
"Q2R10","Q2r10: First-lady Dr. Jill Biden - For each of the following people, please indi","factor",17545
"Q12","Q12: This year a lot of people said they did NOT vote in the election, because t","factor",11073
"Q13","Q13: Did you vote by mail or absentee ballot, vote early in person, or vote in p","factor",10351
"Q14","Q14: In the election for president, [pipe: Q14verb] [pipe: Q14verb2], or the Lib","factor",17545
"Q14R5OE","Q14r5oe: In the election for president, [pipe: Q14verb] [pipe: Q14verb2], or the","factor",17545
"Q15","Q15: How about in the election for U.S. Congress, here in your district in [pipe","factor",17545
"Q15R3OE","Q15r3oe: How about in the election for U.S. Congress, here in your district in [","factor",17545
"Q16","Q16: Before coming to the United States, did you ever vote in the elections in y","factor",4248
"Q17","Q17: Before you came to the US, did you identify with a political party in your","factor",4248
"Q18","Q18: Would you describe this party as liberal or on the left, conservative or on","factor",1130
"Q19","Q19: How similar or different would you say the party you supported in your coun","factor",1130
"Q20","Q20: Before you came to the US, were you involved in any political party or orga","factor",4248
"Q21","Q21: Do you consider your party identification to be","factor",17545
"Q22","Q22: Do you consider yourself to be a strong [pipe: Q21], or not?","factor",11556
"Q23","Q23: If you had to choose, do you consider yourself closer to the Republican par","factor",5989
"Q24","Q24: Have you always called yourself a Republican, or did you used to call yours","factor",3238
"Q25","Q25: Have you always called yourself a Democrat, or did you used to call yoursel","factor",8318
"Q26","Q26: Have you always called yourself an Independent, or did you used to think of","factor",5174
"Q27R1","Q27r1: Older Americans - Thinking about Democrats, which of the following groups","factor",17545
"Q27R2","Q27r2: Younger Americans - Thinking about Democrats, which of the following grou","factor",17545
"Q27R3","Q27r3: Men - Thinking about Democrats, which of the following groups do you asso","factor",17545
"Q27R4","Q27r4: Women - Thinking about Democrats, which of the following groups do you as","factor",17545
"Q27R5","Q27r5: LGBTQ Americans - Thinking about Democrats, which of the following groups","factor",17545
"Q27R6","Q27r6: Catholics - Thinking about Democrats, which of the following groups do yo","factor",17545
"Q27R7","Q27r7: Protestants - Thinking about Democrats, which of the following groups do","factor",17545
"Q27R8","Q27r8: Jews - Thinking about Democrats, which of the following groups do you ass","factor",17545
"Q27R9","Q27r9: Muslims - Thinking about Democrats, which of the following groups do you","factor",17545
"Q27R10","Q27r10: Hindus - Thinking about Democrats, which of the following groups do you","factor",17545
"Q27R11","Q27r11: Buddhists - Thinking about Democrats, which of the following groups do y","factor",17545
"Q27R12","Q27r12: Atheists - Thinking about Democrats, which of the following groups do yo","factor",17545
"Q27R13","Q27r13: Agnostics - Thinking about Democrats, which of the following groups do y","factor",17545
"Q27R14","Q27r14: Non-religious people - Thinking about Democrats, which of the following","factor",17545
"Q27R15","Q27r15: Rich people - Thinking about Democrats, which of the following groups do","factor",17545
"Q27R16","Q27r16: Poor people - Thinking about Democrats, which of the following groups do","factor",17545
"Q27R17","Q27r17: Middle class people - Thinking about Democrats, which of the following g","factor",17545
"Q27R18","Q27r18: People who are racist - Thinking about Democrats, which of the following","factor",17545
"Q27R19","Q27r19: People who fight against racism - Thinking about Democrats, which of the","factor",17545
"Q28R1","Q28r1: Older Americans - Thinking about Republicans, which of the following grou","factor",17545
"Q28R2","Q28r2: Younger Americans - Thinking about Republicans, which of the following gr","factor",17545
"Q28R3","Q28r3: Men - Thinking about Republicans, which of the following groups do you as","factor",17545
"Q28R4","Q28r4: Women - Thinking about Republicans, which of the following groups do you","factor",17545
"Q28R5","Q28r5: LGBTQ Americans - Thinking about Republicans, which of the following grou","factor",17545
"Q28R6","Q28r6: Catholics - Thinking about Republicans, which of the following groups do","factor",17545
"Q28R7","Q28r7: Protestants - Thinking about Republicans, which of the following groups d","factor",17545
"Q28R8","Q28r8: Jews - Thinking about Republicans, which of the following groups do you a","factor",17545
"Q28R9","Q28r9: Muslims - Thinking about Republicans, which of the following groups do yo","factor",17545
"Q28R10","Q28r10: Hindus - Thinking about Republicans, which of the following groups do yo","factor",17545
"Q28R11","Q28r11: Buddhists - Thinking about Republicans, which of the following groups do","factor",17545
"Q28R12","Q28r12: Atheists - Thinking about Republicans, which of the following groups do","factor",17545
"Q28R13","Q28r13: Agnostics - Thinking about Republicans, which of the following groups do","factor",17545
"Q28R14","Q28r14: Non-religious people - Thinking about Republicans, which of the followin","factor",17545
"Q28R15","Q28r15: Rich people - Thinking about Republicans, which of the following groups","factor",17545
"Q28R16","Q28r16: Poor people - Thinking about Republicans, which of the following groups","factor",17545
"Q28R17","Q28r17: Middle class people - Thinking about Republicans, which of the following","factor",17545
"Q28R18","Q28r18: People who are racist - Thinking about Republicans, which of the followi","factor",17545
"Q28R19","Q28r19: People who fight against racism - Thinking about Republicans, which of t","factor",17545
"Q29","Q29: Some people are very interested in politics while other people can","factor",17545
"Q30","Q30: Do you remember how you became interested in politics? Choose the best answ","factor",11918
"Q30R5OE","Q30r5oe: Do you remember how you became interested in politics? Choose the best","factor",17545
"Q31","Q31: Why do you think you are not interested in politics? Choose the best answer","factor",5627
"Q31R5OE","Q31r5oe: Why do you think you are not interested in politics? Choose the best an","factor",17545
"Q32R1","Q32r1: Local TV News (NBC, CBS, Fox, ABC) - Please rank the following as sources","factor",17031
"Q32R2","Q32r2: Cable TV News (Fox News, MSNBC, CNN) - Please rank the following as sourc","factor",16887
"Q32R3","Q32r3: News on my Facebook feed - Please rank the following as sources of news a","factor",16474
"Q32R4","Q32r4: Social media like Twitter or Instagram - Please rank the following as sou","factor",16472
"Q32R5","Q32r5: Talking with friends or family - Please rank the following as sources of","factor",17046
"Q32R6","Q32r6: Newspapers or news outlets online - Please rank the following as sources","factor",16854
"Q32R7","Q32r7: YouTube - Please rank the following as sources of news and information. T","factor",16531
"Q32R8","Q32r8: Specialized online news sources - Please rank the following as sources of","factor",16545
"Q32R9","Q32r9: Listening to news radio - Please rank the following as sources of news an","factor",16375
"Q33R1","Q33r1: Fox News - How often do you watch or get news from the following news sou","factor",17545
"Q33R2","Q33r2: MSNBC - How often do you watch or get news from the following news source","factor",17545
"Q33R3","Q33r3: CNN - How often do you watch or get news from the following news sources?","factor",17545
"Q33R4","Q33r4: New York Times - How often do you watch or get news from the following ne","factor",17545
"Q33R5","Q33r5: National Public Radio (NPR) - How often do you watch or get news from the","factor",17545
"Q38R1","Q38r1: Yes, people from the Democratic side - During the 2020 election and campa","factor",17545
"Q38R2","Q38r2: Yes, people from the Republican side - During the 2020 election and campa","factor",17545
"Q38R3","Q38r3: Yes, people from community groups - During the 2020 election and campaign","factor",17545
"Q38R4","Q38r4: No, nobody contacted me - During the 2020 election and campaign, did anyo","factor",17545
"Q39R1","Q39r1: Someone came to my home - In which of the following ways were you contact","factor",8803
"Q39R2","Q39r2: Phone call - In which of the following ways were you contacted?","factor",8803
"Q39R3","Q39r3: Text message - In which of the following ways were you contacted?","factor",8803
"Q39R4","Q39r4: Email - In which of the following ways were you contacted?","factor",8803
"Q39R5","Q39r5: Direct message on social media - In which of the following ways were you","factor",8803
"Q39R6","Q39r6: Mail sent to my house - In which of the following ways were you contacted","factor",8803
"Q39R7","Q39r7: Someone talked to me on the street, outside a store or something similar","factor",8803
"Q40","Q40: Over the past 12 months, were you asked to register or to vote by a cultura","factor",17545
"Q41R1","Q41r1: Encouraging me to vote - What type of information did cultural groups or","factor",2136
"Q41R2","Q41r2: Encouraging me to vote for a specific candidate - What type of informatio","factor",2136
"Q41R3","Q41r3: Informing me about the issues - What type of information did cultural gro","factor",2136
"Q41R4","Q41r4: Something else - What type of information did cultural groups or racial m","factor",2136
"Q42","Q42: People rely on different sources for information on politics in the U.S. Ho","factor",17545
"Q43","Q43: When it comes to politics, do you think of yourself as liberal, moderate, o","factor",17545
"Q44","Q44: How much of the time do you think you can trust the government in Washingto","factor",17545
"Q45","Q45: Please indicate if you agree or disagree: The political system helps people","factor",17545
"Q46","Q46: Please indicate if you agree or disagree: Politicians do not listen to peop","factor",17545
"Q47","Q47: How much have you heard in the news about allegations of voter fraud in the","factor",17545
"Q48_50SPLIT","q48_50split: holds split selection for q48-50","factor",17545
"Q48","Q48: Do you believe there was voter fraud in the presidential election which imp","factor",5816
"Q49","Q49: Do you believe there was voter fraud in the presidential election at the le","factor",5903
"Q50","Q50: Do you believe there was voter fraud in the presidential election at the le","factor",5826
"Q51_52SPLIT","q51_52split: holds split selection for q51-52","factor",17545
"Q51","Q51: On November 20, 2020","factor",8673
"Q52","Q52: After all 50 states and D.C. certified the final vote results Joe Biden def","factor",8872
"Q53","Q53: On January 6, 2021 the U.S. Congress was scheduled to meet and vote on the","factor",17545
"Q54","Q54: Some people have said that former President Donald Trump encouraged or inci","factor",17545
"Q55","Q55: Do you think the Republican members of Congress who tried to stop the forma","factor",17545
"Q56","Q56: Thinking about the people who attacked the U.S. Capitol, do you think","factor",17545
"Q57","Q57: How much of the time do you think you can trust your [pipe: Q57verb] govern","factor",17545
"Q58_COUNT","Q58_count: HOLDS NUMBER OF ROWS THAT WERE SELCTED AT Q58.","numeric",17545
"Q58SELECT","Q58select: HOLDS Q58 selection","numeric",0
"Q59","Q59: Thinking back to before the coronavirus pandemic, generally speaking, about","factor",17545
"Q60R1","Q60r1: Fundamentalist - Theologically, do you consider yourself a fundamentalist","factor",15656
"Q60R2","Q60r2: Evangelical - Theologically, do you consider yourself a fundamentalist, e","factor",15656
"Q60R3","Q60r3: Mainline - Theologically, do you consider yourself a fundamentalist, evan","factor",15656
"Q60R4","Q60r4: Liberal - Theologically, do you consider yourself a fundamentalist, evang","factor",15656
"Q60R5","Q60r5: Pentecostal - Theologically, do you consider yourself a fundamentalist, e","factor",15656
"Q60R6","Q60r6: None of these - Theologically, do you consider yourself a fundamentalist,","factor",15656
"Q61","Q61: What primary religion, if any, did your family practice or follow when you","factor",17545
"Q61R17OE","Q61r17oe: What primary religion, if any, did your family practice or follow when","factor",17545
"Q62R1","Q62r1: God will reward the faithful with health and wealth. - To what extent do","factor",17545
"Q62R2","Q62r2: If you earn a lot of money, you should give most of it away and live mode","factor",17545
"Q62R3","Q62r3: People should be allowed to compete to ensure the best person wins. - To","factor",17545
"Q62R4","Q62r4: I","factor",17545
"Q62R5","Q62r5: A problem with government social programs is that they get in the way of","factor",17545
"NEWQ67","newq67: Which best describes your view of the Afterlife?","factor",17545
"Q67","Q67: Thinking about before the coronavirus pandemic, how often do you talk with","factor",17545
"Q68","Q68: Think about the people in your neighborhood.","factor",17545
"Q69","Q69: Thinking about the people in your neighborhood, how similar would you say y","factor",17545
"Q70R1","Q70r1: Public schools - Overall, how would you rate the following local goods an","factor",17545
"Q70R2","Q70r2: Police - Overall, how would you rate the following local goods and servic","factor",17545
"Q70R3","Q70r3: Public parks/recreation - Overall, how would you rate the following local","factor",17545
"Q70R4","Q70r4: Public transportation - Overall, how would you rate the following local g","factor",17545
"Q70R5","Q70r5: Access to hospitals/health care facilities - Overall, how would you rate","factor",17545
"Q75","Q75: Overall, how would you rate your community as a place to live?","factor",17545
"Q76R1","Q76r1: White, non-Hispanic - If you could live anywhere, in any type of communit","factor",17545
"Q76R2","Q76r2: Hispanic or Latino - If you could live anywhere, in any type of community","factor",17545
"Q76R3","Q76r3: Black of African American - If you could live anywhere, in any type of co","factor",17545
"Q76R4","Q76r4: Asian American or Pacific Islander - If you could live anywhere, in any t","factor",17545
"Q76R5","Q76r5: Native American or Native Hawaiian - If you could live anywhere, in any t","factor",17545
"Q76R6","Q76r6: Middle Eastern or North African - If you could live anywhere, in any type","factor",17545
"Q77R1","Q77r1: Discussed politics with family and friends? - Since January 2020, have yo","factor",17545
"Q77R2","Q77r2: Contributed money to a candidate, political party, ballot issue, or some","factor",17545
"Q77R3","Q77r3: Worn a campaign button, or posted a campaign sign or sticker? - Since Jan","factor",17545
"Q77R4","Q77r4: Contacted an elected representative or a government official in the U.S.","factor",17545
"Q77R5","Q77r5: Contacted in any way, such as by letter, telephone, internet, or in perso","factor",17545
"Q77R6","Q77r6: Worked or cooperated with others to try to solve a problem affecting your","factor",17545
"Q77R7","Q77r7: Discussed a candidate or political issue by posting on an internet site o","factor",17545
"Q77R8","Q77r8: Signed a petition regarding an issue or problem that concerns you? - Sinc","factor",17545
"Q77R9","Q77r9: Boycotted a company or product for political reasons? - Since January 202","factor",17545
"Q78","Q78: Since January 2020, have you","factor",17545
"Q79","Q79: Did you work in person or mainly remotely, using phone, internet, mail?","factor",1156
"Q84","Q84: Since January 2020, have you","factor",17545
"Q85","Q85: In how many groups did you regularly participate?","factor",2175
"Q85B","Q85b: Do any of these organizations sometimes take stands on any public issues,","factor",2149
"Q86","Q86: Since January 2020, have you","factor",17545
"Q87","Q87: Was this in person or remotely, like using the internet?","factor",2038
"Q88","Q88: Did you speak or post a comment at the meeting?","factor",2038
"Q93","Q93: Since January 2020, have you","factor",17545
"Q94","Q94: Was this in person or remotely, like using the internet?","factor",1282
"Q95","Q95: Since January 2020, have you","factor",17545
"Q96R1","Q96r1: In support of Black Lives Matter","factor",1427
"Q96R2","Q96r2: To protest racial bias in policing or the criminal justice system - For w","factor",1427
"Q96R3","Q96r3: In support of humane immigration reform - For which of the following issu","factor",1427
"Q96R4","Q96r4: Urging stronger government actions to address COVID-19 - For which of the","factor",1427
"Q96R5","Q96r5: Opposing government overreach to address COVID-19 - For which of the foll","factor",1427
"Q96R6","Q96r6: In support of wages and economic equality - For which of the following is","factor",1427
"Q96R7","Q96r7: To address climate change - For which of the following issues did you att","factor",1427
"Q96R8","Q96r8: Opposing gun violence and stronger gun laws - For which of the following","factor",1427
"Q96R9","Q96r9: In support of","factor",1427
"Q96R10","Q96r10: In support of President-Elect Joe Biden - For which of the following iss","factor",1427
"Q96R11","Q96r11: In support of President Trump - For which of the following issues did yo","factor",1427
"Q96R12","Q96r12: To protest voter fraud in the 2020 election - For which of the following","factor",1427
"Q96R13","Q96r13: In support of equal voting rights for all - For which of the following i","factor",1427
"Q96R14","Q96r14: Other (SPECIFY) - For which of the following issues did you attend a mar","factor",1427
"Q96R14OE","Q96r14oe: For which of the following issues did you attend a march, demonstratio","factor",17545
"Q97","Q97: Previously we asked about your political engagement during the past 12 mont","factor",17545
"Q98R1","Q98r1: In support of Black Lives Matter","factor",2141
"Q98R2","Q98r2: To protest racial bias in policing or the criminal justice system - For w","factor",2141
"Q98R3","Q98r3: In support of humane immigration reform - For which of the following issu","factor",2141
"Q98R4","Q98r4: In support of wages and economic equality - For which of the following is","factor",2141
"Q98R5","Q98r5: To address climate change - For which of the following issues did you att","factor",2141
"Q98R6","Q98r6: Opposing gun violence and stronger gun laws - For which of the following","factor",2141
"Q98R7","Q98r7: In support of","factor",2141
"Q98R8","Q98r8: In opposition to President Trump - For which of the following issues did","factor",2141
"Q98R9","Q98r9: In support of President Trump - For which of the following issues did you","factor",2141
"Q98R10","Q98r10: In support of equal voting rights for all - For which of the following i","factor",2141
"Q98R11","Q98r11: Other (SPECIFY) - For which of the following issues did you attend a mar","factor",2141
"Q98R11OE","Q98r11oe: For which of the following issues did you attend a march, demonstratio","factor",17545
"Q99R1","Q99r1: Racial bias in policing or the criminal justice system - Regardless of yo","factor",17545
"Q99R2","Q99r2: Support for Black lives - Regardless of your own participation in such ev","factor",17545
"Q99R3","Q99r3: Humane immigration reform - Regardless of your own participation in such","factor",17545
"Q99R4","Q99r4: Stronger government actions to address COVID-19 - Regardless of your own","factor",17545
"Q99R5","Q99r5: Stopping government overreach to address COVID-19 - Regardless of your ow","factor",17545
"Q99R6","Q99r6: Wage and economic equality - Regardless of your own participation in such","factor",17545
"Q99R7","Q99r7: Addressing climate change - Regardless of your own participation in such","factor",17545
"Q99R8","Q99r8: Stronger gun laws - Regardless of your own participation in such events,","factor",17545
"Q99R9","Q99r9: Support for women","factor",17545
"Q99R10","Q99r10: Support for equal voting rights for all - Regardless of your own partici","factor",17545
"Q99R11","Q99r11: Stopping voter fraud in elections - Regardless of your own participation","factor",17545
"Q110R1","Q110r1: No, none of these - In the past year, have you made a monetary donation","factor",17545
"Q110R2","Q110r2: Religious Organization - In the past year, have you made a monetary dona","factor",17545
"Q110R3","Q110r3: Political Party or candidate - In the past year, have you made a monetar","factor",17545
"Q110R4","Q110r4: Social/Human Services Organization - In the past year, have you made a m","factor",17545
"Q110R5","Q110r5: COVID Relief Efforts - In the past year, have you made a monetary donati","factor",17545
"Q110R6","Q110r6: Black Lives Matter - In the past year, have you made a monetary donation","factor",17545
"Q110R7","Q110r7: Police association - In the past year, have you made a monetary donation","factor",17545
"Q110R8","Q110r8: Political civic group (not a political party) - In the past year, have y","factor",17545
"Q111R1","Q111r1: Black Lives Matter - Thinking about your overall giving or donations to","factor",17545
"Q111R2","Q111r2: Local Police association - Thinking about your overall giving or donatio","factor",17545
"Q111R3","Q111r3: Immigrant rights organization - Thinking about your overall giving or do","factor",17545
"Q111R4","Q111r4: Your church or place of worship - Thinking about your overall giving or","factor",17545
"Q111R5","Q111r5: Local school - Thinking about your overall giving or donations to differ","factor",17545
"Q116R1","Q116r1: Children/Youth - Who do you expect to benefit from your largest donation","factor",5967
"Q116R2","Q116r2: Low-income individuals/families - Who do you expect to benefit from your","factor",6171
"Q116R3","Q116r3: Women - Who do you expect to benefit from your largest donations, please","factor",2732
"Q116R4","Q116r4: Members of my racial/ethnic group - Who do you expect to benefit from yo","factor",2682
"Q116R5","Q116r5: Immigrants, Asylum Seekers, Refugees - Who do you expect to benefit from","factor",1566
"Q116R6","Q116r6: Formerly Incarcerated Individuals - Who do you expect to benefit from yo","factor",763
"Q116R7","Q116r7: Military Families/Veterans - Who do you expect to benefit from your larg","factor",1594
"Q116R8","Q116r8: Environment/Animals - Who do you expect to benefit from your largest don","factor",1586
"Q116R9","Q116r9: Police Officers/Fraternal Orders of Police - Who do you expect to benefi","factor",892
"Q116R10","Q116r10: Individuals affected by COVID Pandemic - Who do you expect to benefit f","factor",2077
"Q116R11","Q116r11: Small Businesses - Who do you expect to benefit from your largest donat","factor",1071
"Q116R12","Q116r12: Scientists/Research - Who do you expect to benefit from your largest do","factor",807
"Q116R13","Q116r13: Gun Owners - Who do you expect to benefit from your largest donations,","factor",279
"Q116R14","Q116r14: Politician/Local Campaign/Super PAC - Who do you expect to benefit from","factor",547
"Q117R1","Q117r1: Addressing police brutality - Please indicate if the following should be","factor",17545
"Q117R2","Q117r2: Reducing mass incarceration - Please indicate if the following should be","factor",17545
"Q117R3","Q117r3: Opposing same-sex marriage - Please indicate if the following should be","factor",17545
"Q117R4","Q117r4: Raising the minimum wage - Please indicate if the following should be a","factor",17545
"Q117R5","Q117r5: Restricting access to abortions - Please indicate if the following shoul","factor",17545
