"run","item","variable","response","n","weight_sum","mean_shap","positive_share"
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR2","(1) Yes, myself",38,29.7897841930389,1.29307403158458e-05,0.0775508855881756
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR3","(0) NO TO: Yes, one of my parents",496,396.512498974798,-3.12914275824888e-05,0.0449810226612269
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR3","(1) Yes, one of my parents",25,16.1614350676534,3.14654480596309e-05,0.142946720757159
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR4","(0) NO TO: Yes, one of my grandparents",505,403.168830245731,-3.2808857699147e-05,0.0453352442823877
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR4","(1) Yes, one of my grandparents",16,9.5051037967204,0.000139776845907872,0.196526464225012
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR5","(0) NO TO: Yes, another more distant relative",509,405.698923349378,-4.85401012885945e-05,0.0324643483046179
"diagnostic_202001_forest_FALSE","S2_AFROLAT","S2_AFROLATR5","(1) Yes, another more distant relative",12,6.9750106930732,0.00111738201179551,1
"diagnostic_202001_forest_FALSE","S3","S3","(01) Straight, that is, not gay or lesbian",462,368.633913964031,7.48939700928246e-05,1
"diagnostic_202001_forest_FALSE","S3","S3","(02) Gay or lesbian",29,21.4978720247745,-0.000510157026402741,0
"diagnostic_202001_forest_FALSE","S3","S3","(03) Bisexual",17,13.2425531446934,-0.00112157086557311,0
"diagnostic_202001_forest_FALSE","S3B","S3B","(1) Man",205,187.37006162107,-2.33215114111568e-05,0
"diagnostic_202001_forest_FALSE","S3B","S3B","(2) Woman",315,224.429560855029,9.0541946188984e-06,1
"diagnostic_202001_forest_FALSE","S3C","S3C","(02) No",513,405.769157052038,3.32767985573637e-05,1
"diagnostic_202001_forest_FALSE","S4","S4","(03) Arizona",29,27.7008898854256,0.000619408572609778,1
"diagnostic_202001_forest_FALSE","S4","S4","(05) California",89,78.0144475400448,-0.000138561765686573,0
"diagnostic_202001_forest_FALSE","S4","S4","(10) Florida",79,54.3121293932196,0.000263627965610806,1
"diagnostic_202001_forest_FALSE","S4","S4","(11) Georgia",11,6.743816137314,-4.34763565883262e-05,0
"diagnostic_202001_forest_FALSE","S4","S4","(14) Illinois",19,22.6180471479891,-6.83604137504152e-05,0
"diagnostic_202001_forest_FALSE","S4","S4","(22) Massachusetts",10,7.5657571852205,-2.99194507012088e-05,0.215089058172857
"diagnostic_202001_forest_FALSE","S4","S4","(31) New Jersey",17,9.5091468691823,-0.000237786077744717,0
"diagnostic_202001_forest_FALSE","S4","S4","(33) New York",49,40.0007588565345,-8.56192817722056e-05,0.0479904905096746
"diagnostic_202001_forest_FALSE","S4","S4","(36) Ohio",10,9.3517566472292,-1.46218200097085e-05,0.142547350480454
"diagnostic_202001_forest_FALSE","S4","S4","(44) Texas",85,66.5555939972398,-0.000116865976540842,0.0446691911803341
"diagnostic_202001_forest_FALSE","S5","S5","(1.96e+03,1.97e+03]",127,108.570446759462,6.3327229514777e-05,0.828156749292417
"diagnostic_202001_forest_FALSE","S5","S5","(1.97e+03,1.98e+03]",133,102.1526761204,-4.44079506586351e-05,0.266858606478725
"diagnostic_202001_forest_FALSE","S5","S5","(1.98e+03, Inf]",117,80.5253599435085,-0.000147230965546398,0.0169572072960051
"diagnostic_202001_forest_FALSE","S5","S5","[-Inf,1.96e+03]",144,121.425451219081,0.000218639373342708,1
"diagnostic_202001_forest_FALSE","S7","S7","(1) United States",401,292.286981999873,8.36528948233478e-06,1
"diagnostic_202001_forest_FALSE","S7","S7","(2) Another country",81,85.2819173634043,1.14093136627782e-05,1
"diagnostic_202001_forest_FALSE","S7","S7","(3) on the Island of Puerto Rico",39,35.1050346791744,-9.21626663320091e-05,0
"diagnostic_202001_forest_FALSE","S10","S10","(06) Cuba",29,18.3853591978547,-6.29820038010058e-06,0.458981028335424
"diagnostic_202001_forest_FALSE","S10","S10","(07) Dominican Republic",14,14.4410747885701,0.000733440181146247,1
"diagnostic_202001_forest_FALSE","S10","S10","(09) El Salvador",11,8.7915094494817,-0.000410982572454984,0
"diagnostic_202001_forest_FALSE","S10","S10","(12) Mexico",233,215.458979576826,-4.22018872416669e-05,0.261714362918123
"diagnostic_202001_forest_FALSE","S10","S10","(17) Puerto Rico",103,74.4009409248819,5.53763009512521e-05,0.431584858412279
"diagnostic_202001_forest_FALSE","S10","S10","(21) Spain / Spanish",63,32.6913532614708,-0.000126480716561262,0.00425853637782496
"diagnostic_202001_forest_FALSE","S10_MEX","S10_MEX","(1) Yes, have Mexican ancestry",32,25.6351920366286,0.000131149469778151,0.632643185153115
"diagnostic_202001_forest_FALSE","S10_MEX","S10_MEX","(2) No",39,12.2167700827124,-0.00018197650988603,0
"diagnostic_202001_forest_FALSE","S10_MEX","S10_MEX","Not observed / routed",450,374.82197192311,1.19607107493099e-05,0.822263865146242
"diagnostic_202001_forest_FALSE","S11","S11","(12) Latin American indigenous",23,18.4213061034679,-2.8891553464036e-06,0.329155056010861
"diagnostic_202001_forest_FALSE","S11","S11","(88) Don",17,15.1587443947794,-6.75334916412682e-06,0.286906005507694
"diagnostic_202001_forest_FALSE","S11","S11","Not observed / routed",447,350.754064202306,-6.96483883858667e-06,0.206124224192683
"diagnostic_202001_forest_FALSE","S2_M","S2_M","(1) Yes",184,137.935822755097,-5.313067928401e-05,0
"diagnostic_202001_forest_FALSE","S2_M","S2_M","(2) No",337,274.738111287354,2.41291584696648e-05,1
"diagnostic_202001_forest_FALSE","S13","S13","(3) High School graduate or GED",63,96.8346689939496,0.000195352673137428,1
"diagnostic_202001_forest_FALSE","S13","S13","(4) Some college",117,91.516142278911,-3.57344810671229e-07,0.574393696318024
"diagnostic_202001_forest_FALSE","S13","S13","(5) Associates, 2-year degree",79,59.684155017138,1.14097713891974e-05,0.566196845772517
"diagnostic_202001_forest_FALSE","S13","S13","(6) Bachelors, 4-year degree",147,87.5735431313492,-6.5812461767807e-05,0
"diagnostic_202001_forest_FALSE","S13","S13","(7) Post-graduate degree",109,66.1680135130873,1.62985346165988e-05,0.658512598498182
"diagnostic_202001_forest_FALSE","S14","S14","(1) Large urban area",164,132.108552515506,7.31335977644059e-05,0.84932080489498
"diagnostic_202001_forest_FALSE","S14","S14","(2) Large suburb near large city",180,140.90503373742,-3.84565490141724e-05,0.0897850469396675
"diagnostic_202001_forest_FALSE","S14","S14","(3) Small suburb near small town or city",79,57.3743208497764,-2.5963693586928e-05,0.072602582135721
"diagnostic_202001_forest_FALSE","S14","S14","(4) Small town or small city",61,53.3213187158112,-3.5721473647486e-05,0.0417844920344616
"diagnostic_202001_forest_FALSE","S14","S14","(5) Rural area",37,28.9647082239387,-3.98965345765786e-05,0.0488184161728289
"diagnostic_202001_forest_FALSE","Q58","Q58R1","(0) NO TO: Catholic",282,216.711348891257,-3.37922651888018e-05,0.364189190406434
"diagnostic_202001_forest_FALSE","Q58","Q58R1","(1) Catholic",239,195.962585151194,-0.000163918310141524,0.0574137418190358
"diagnostic_202001_forest_FALSE","Q58","Q58R2","(0) NO TO: Protestant (such as Methodist, Presbyterian, Assembly of God, Baptist, Lutheran, non-denominational Christian, et",443,353.003190442918,-0.000218946250900719,0.0909054626108278
"diagnostic_202001_forest_FALSE","Q58","Q58R2","(1) Protestant (such as Methodist, Presbyterian, Assembly of God, Baptist, Lutheran, non-denominational Christian, etc.)",78,59.6707435995338,0.000634208653026748,0.973424397627197
"diagnostic_202001_forest_FALSE","Q58","Q58R3","(0) NO TO: Other Christian",469,370.549429267642,-9.48552610228108e-05,0.217133232305066
"diagnostic_202001_forest_FALSE","Q58","Q58R3","(1) Other Christian",52,42.124504774809,-0.000101994322972747,0.230656258653145
"diagnostic_202001_forest_FALSE","Q58","Q58R4","(0) NO TO: Jewish",512,405.991599857805,-9.5018914015792e-05,0.222110201310169
"diagnostic_202001_forest_FALSE","Q58","Q58R5","(0) NO TO: Muslim",519,411.85305035114,-9.18925077505207e-05,0.217516212465594
"diagnostic_202001_forest_FALSE","Q58","Q58R6","(0) NO TO: Hindu",520,411.668475687501,-9.53357712417858e-05,0.219047319142082
"diagnostic_202001_forest_FALSE","Q58","Q58R7","(0) NO TO: Buddhist",517,409.140583992002,-9.50400484393346e-05,0.219493331459227
"diagnostic_202001_forest_FALSE","Q58","Q58R8","(0) NO TO: Mormon/LDS",518,410.445453569291,-9.71329094439868e-05,0.214270604624074
"diagnostic_202001_forest_FALSE","Q58","Q58R9","(0) NO TO: Folk religion",520,412.492346242068,-9.55655694021011e-05,0.218609816148531
"diagnostic_202001_forest_FALSE","Q58","Q58R10","(0) NO TO: Daoist",521,412.673934042451,-9.55839948351259e-05,0.218513621859573
"diagnostic_202001_forest_FALSE","Q58","Q58R11","(0) NO TO: Shamanism",521,412.673934042451,-9.55839948351259e-05,0.218513621859573
"diagnostic_202001_forest_FALSE","Q58","Q58R12","(0) NO TO: Ancestral religion",519,412.256495729086,-9.56103167211097e-05,0.218734882066996
"diagnostic_202001_forest_FALSE","Q58","Q58R13","(0) NO TO: Spiritual but not religious",492,391.634345650671,-9.8473717127535e-05,0.20730357462985
"diagnostic_202001_forest_FALSE","Q58","Q58R13","(1) Spiritual but not religious",29,21.0395883917807,-4.17942306046638e-05,0.427179277754289
"diagnostic_202001_forest_FALSE","Q58","Q58R14","(0) NO TO: Atheist",492,392.712970539925,-4.68126138877855e-05,0.229620314935554
"diagnostic_202001_forest_FALSE","Q58","Q58R14","(1) Atheist",29,19.9609635025261,-0.00105511452484889,0
"diagnostic_202001_forest_FALSE","Q58","Q58R15","(0) NO TO: Agnostic",490,390.527328729627,-9.06718562727164e-05,0.229189712246758
"diagnostic_202001_forest_FALSE","Q58","Q58R15","(1) Agnostic",31,22.1466053128242,-0.000182203335543595,0.030254292662556
"diagnostic_202001_forest_FALSE","Q58","Q58R16","(0) NO TO: None",475,374.020122051237,-7.6741396958049e-05,0.241096322518984
"diagnostic_202001_forest_FALSE","Q58","Q58R16","(1) None",46,38.6538119912147,-0.000277907817369067,0
"diagnostic_202001_forest_FALSE","Q58","Q58R17","(0) NO TO: Other (SPECIFY)",508,401.85999497771,-8.93929393817889e-05,0.22439376176187
"diagnostic_202001_forest_FALSE","Q58","Q58R17","(1) Other (SPECIFY)",13,10.813939064741,-0.000325651641646328,0
"diagnostic_202001_forest_FALSE","Q1","Q1R1","(0) NO TO: Responding to Coronavirus / COVID-19",361,285.093383148311,0.000926806812601196,0.322556205477472
"diagnostic_202001_forest_FALSE","Q1","Q1R1","(1) Responding to Coronavirus / COVID-19",160,127.58055089414,-0.000177776807858228,0.182029674335093
"diagnostic_202001_forest_FALSE","Q1","Q1R2","(0) NO TO: Lowering the costs of health care",343,276.257808744906,0.000822188284968682,0.319483465639315
"diagnostic_202001_forest_FALSE","Q1","Q1R2","(1) Lowering the costs of health care",178,136.416125297546,0.000105630420406772,0.197354116306551
"diagnostic_202001_forest_FALSE","Q1","Q1R3","(0) NO TO: Improving wages and incomes",402,315.120558694003,0.000818277739465196,0.293899867902032
"diagnostic_202001_forest_FALSE","Q1","Q1R3","(1) Improving wages and incomes",119,97.5533753484485,-0.00016719577074864,0.231342025345752
"diagnostic_202001_forest_FALSE","Q1","Q1R4","(0) NO TO: Unemployment / Creating more jobs",452,359.324425995348,0.000655133164808035,0.257875912357954
"diagnostic_202001_forest_FALSE","Q1","Q1R4","(1) Unemployment / Creating more jobs",69,53.3495080471036,0.000115095311582605,0.422140196679487
"diagnostic_202001_forest_FALSE","Q1","Q1R5","(0) NO TO: Stopping discrimination against racial/ethnic minorities",405,318.431920215486,0.00089608126979815,0.338516847034383
"diagnostic_202001_forest_FALSE","Q1","Q1R5","(1) Stopping discrimination against racial/ethnic minorities",116,94.2420138269657,-0.000464710493610034,0.0783887788404028
"diagnostic_202001_forest_FALSE","Q1","Q1R6","(0) NO TO: Criminal justice and police reform",451,360.646291822193,0.00069044243721322,0.303458332168082
"diagnostic_202001_forest_FALSE","Q1","Q1R6","(1) Criminal justice and police reform",70,52.0276422202585,-0.000143382973601239,0.110344492693636
"diagnostic_202001_forest_FALSE","Q1","Q1R7","(0) NO TO: Protecting immigrant rights",468,366.928786039351,0.000811828390345305,0.313149732981907
"diagnostic_202001_forest_FALSE","Q1","Q1R7","(1) Protecting immigrant rights",53,45.7451480031012,-0.00123155310572479,0.0060866484504504
"diagnostic_202001_forest_FALSE","Q1","Q1R8","(0) NO TO: Improving K-12 education and schools",486,385.32434479892,0.000612940425092802,0.281709381427908
"diagnostic_202001_forest_FALSE","Q1","Q1R8","(1) Improving K-12 education and schools",35,27.3495892435309,0.000196155009832057,0.242511985256142
"diagnostic_202001_forest_FALSE","Q1","Q1R9","(0) NO TO: Lowering taxes",421,329.253625050185,0.000445674987122921,0.245025733602287
"diagnostic_202001_forest_FALSE","Q1","Q1R9","(1) Lowering taxes",100,83.4203089922668,0.00113648010523427,0.413645974265948
"diagnostic_202001_forest_FALSE","Q1","Q1R10","(0) NO TO: Decrease government spending",458,364.016734689472,0.000299858310507132,0.223900141986236
"diagnostic_202001_forest_FALSE","Q1","Q1R10","(1) Decrease government spending",63,48.6571993529795,0.00272091664433637,0.692162472795621
"diagnostic_202001_forest_FALSE","Q1","Q1R11","(0) NO TO: Combating climate change and pollution",450,359.979161068795,0.000813910308417845,0.311513797188822
"diagnostic_202001_forest_FALSE","Q1","Q1R11","(1) Combating climate change and pollution",71,52.6947729736562,-0.00097628513151762,0.0577592512627599
"diagnostic_202001_forest_FALSE","Q1","Q1R12","(0) NO TO: Creating more affordable housing",476,376.591206640003,0.00069984317788766,0.300527803777239
"diagnostic_202001_forest_FALSE","Q1","Q1R12","(1) Creating more affordable housing",45,36.0827274024483,-0.000609963873500627,0.0555932962077027
"diagnostic_202001_forest_FALSE","Q1","Q1R13","(0) NO TO: Addressing mass shootings and gun safety policy",453,359.016073852776,0.000730147522292463,0.306459956317645
"diagnostic_202001_forest_FALSE","Q1","Q1R13","(1) Addressing mass shootings and gun safety policy",68,53.6578601896759,-0.000383710234947276,0.0961282406215881
"diagnostic_202001_forest_FALSE","Q1","Q1R14","(0) NO TO: Lowering the cost of college",498,394.659047722814,0.000632959531238951,0.28690802366435
"diagnostic_202001_forest_FALSE","Q1","Q1R14","(1) Lowering the cost of college",23,18.0148863196372,-0.000458375315431136,0.108312568160519
"diagnostic_202001_forest_FALSE","Q1","Q1R15","(0) NO TO: Protecting women",486,391.182291358707,0.000658499032482312,0.291065122344478
"diagnostic_202001_forest_FALSE","Q1","Q1R15","(1) Protecting women",35,21.4916426837442,-0.000746687164561748,0.0615385492841623
"diagnostic_202001_forest_FALSE","Q1","Q1R16","(0) NO TO: Limiting abortion",501,397.769514679906,0.000497567486070868,0.260846859020631
"diagnostic_202001_forest_FALSE","Q1","Q1R16","(1) Limiting abortion",20,14.904419362545,0.00292721562178743,0.766561729744667
"diagnostic_202001_forest_FALSE","Q1","Q1R17","(0) NO TO: Stopping the left-wing Democratic agenda",483,383.16717880964,-0.00029418349959085,0.223597780580156
"diagnostic_202001_forest_FALSE","Q1","Q1R17","(1) Stopping the left-wing Democratic agenda",38,29.5067552328112,0.0120063045035618,1
"diagnostic_202001_forest_FALSE","Q1","Q1R18","(0) NO TO: Stopping the right-wing Republican agenda",489,388.105753377078,0.000576136710434604,0.290473469829891
"diagnostic_202001_forest_FALSE","Q1","Q1R18","(1) Stopping the right-wing Republican agenda",32,24.5681806653739,0.000730361553409596,0.099627285990798
"diagnostic_202001_forest_FALSE","Q1","Q1R19","(0) NO TO: Border security to control immigration",440,343.257089257238,-2.48474199808813e-05,0.150152771623944
"diagnostic_202001_forest_FALSE","Q1","Q1R19","(1) Border security to control immigration",81,69.4168447852133,0.00360250715051344,0.916795957395938
"diagnostic_202001_forest_FALSE","Q1","Q1R20","(0) NO TO: Combating terrorism",499,391.800894558427,0.000503243882980779,0.264267498232039
"diagnostic_202001_forest_FALSE","Q1","Q1R20","(1) Combating terrorism",22,20.8730394840241,0.00212591094591953,0.557745497711859
"diagnostic_202001_forest_FALSE","Q1","Q1R21","(0) NO TO: Reducing crime",466,362.542121410368,0.000521781486449792,0.267010059370049
"diagnostic_202001_forest_FALSE","Q1","Q1R21","(1) Reducing crime",55,50.1318126320836,0.00104480282851251,0.366627330608791
"diagnostic_202001_forest_FALSE","Q1","Q1R22","(0) NO TO: Eliminating voter suppression",474,377.509044304488,0.0006742903589443,0.293173307558617
"diagnostic_202001_forest_FALSE","Q1","Q1R22","(1) Eliminating voter suppression",47,35.1648897379633,-0.000369831455155385,0.128153703519288
"diagnostic_202001_forest_FALSE","Q1","Q1R23","(0) NO TO: Other",513,407.803482055662,0.000600500796513033,0.281313535589852
"diagnostic_202001_forest_FALSE","Q2R1","Q2R1","(1) Very favorable",78,66.5254518389702,0.0559410374748307,1
"diagnostic_202001_forest_FALSE","Q2R1","Q2R1","(2) Somewhat favorable",62,45.7083176374431,0.0312330089318335,1
"diagnostic_202001_forest_FALSE","Q2R1","Q2R1","(3) Somewhat unfavorable",40,33.034286394715,0.0194996109412103,1
"diagnostic_202001_forest_FALSE","Q2R1","Q2R1","(4) Very unfavorable",327,258.032131180166,-0.028696439834132,0
"diagnostic_202001_forest_FALSE","Q2R1","Q2R1","(5) No opinion",13,8.7584847807883,0.0169542424822644,1
"diagnostic_202001_forest_FALSE","Q2R2","Q2R2","(1) Very favorable",57,46.4461293518542,0.00101738067213258,1
"diagnostic_202001_forest_FALSE","Q2R2","Q2R2","(2) Somewhat favorable",98,76.3421401083467,0.000196562149199924,0.881502277528672
"diagnostic_202001_forest_FALSE","Q2R2","Q2R2","(3) Somewhat unfavorable",109,82.9998289793726,-0.000185688356675376,0.0120458211974012
"diagnostic_202001_forest_FALSE","Q2R2","Q2R2","(4) Very unfavorable",205,166.838653221726,-0.000337958812772171,0
"diagnostic_202001_forest_FALSE","Q2R2","Q2R2","(5) No opinion",46,35.4359439313406,6.96218259052235e-05,0.581238147180023
"diagnostic_202001_forest_FALSE","Q2R3","Q2R3","(1) Very favorable",190,156.040932044386,-0.017303319590265,0
"diagnostic_202001_forest_FALSE","Q2R3","Q2R3","(2) Somewhat favorable",165,123.087054058908,-0.00705186988944335,0
"diagnostic_202001_forest_FALSE","Q2R3","Q2R3","(3) Somewhat unfavorable",47,36.0231888890267,-0.00530074302805544,0
"diagnostic_202001_forest_FALSE","Q2R3","Q2R3","(4) Very unfavorable",94,75.910002440214,0.0337241185015655,1
"diagnostic_202001_forest_FALSE","Q2R3","Q2R3","(5) No opinion",19,16.0571979880332,-0.00641843762468257,0
"diagnostic_202001_forest_FALSE","Q2R4","Q2R4","(1) Very favorable",173,144.376289010048,-0.00588233892246974,0
"diagnostic_202001_forest_FALSE","Q2R4","Q2R4","(2) Somewhat favorable",149,112.027050584553,-0.00567466369294162,0
"diagnostic_202001_forest_FALSE","Q2R4","Q2R4","(3) Somewhat unfavorable",43,33.7866361886262,-0.004848888056538,0
"diagnostic_202001_forest_FALSE","Q2R4","Q2R4","(4) Very unfavorable",118,94.333900079131,0.0176455965648176,1
"diagnostic_202001_forest_FALSE","Q2R4","Q2R4","(5) No opinion",26,20.241789072752,-0.00676060196911558,0
"diagnostic_202001_forest_FALSE","Q2R4","Q2R4","(6) Haven",12,7.9082691073418,-0.0062728186509387,0
"diagnostic_202001_forest_FALSE","Q2R5","Q2R5","(1) Very favorable",252,200.327340513467,-0.00246915954032884,0
"diagnostic_202001_forest_FALSE","Q2R5","Q2R5","(2) Somewhat favorable",119,90.39702142775,3.9179669646849e-05,0.322087170169406
"diagnostic_202001_forest_FALSE","Q2R5","Q2R5","(3) Somewhat unfavorable",49,38.3921882212164,0.00137685042046232,1
"diagnostic_202001_forest_FALSE","Q2R5","Q2R5","(4) Very unfavorable",80,68.9100330024956,0.00387827405305104,1
"diagnostic_202001_forest_FALSE","Q2R5","Q2R5","(5) No opinion",18,13.27157998085,-0.000222340550648297,0.36133635920613
"diagnostic_202001_forest_FALSE","Q2R6","Q2R6","(1) Very favorable",84,69.6161605417729,9.03875814659195e-05,0.988059599241755
"diagnostic_202001_forest_FALSE","Q2R6","Q2R6","(2) Somewhat favorable",195,155.73921458423,1.70709853931441e-05,0.89223537401891
"diagnostic_202001_forest_FALSE","Q2R6","Q2R6","(3) Somewhat unfavorable",122,96.4248992204662,2.19286953482692e-05,0.914636660411975
"diagnostic_202001_forest_FALSE","Q2R6","Q2R6","(4) Very unfavorable",74,58.1173769384622,-9.69021984797708e-05,0.0543849745087297
"diagnostic_202001_forest_FALSE","Q2R6","Q2R6","(5) No opinion",40,28.0403766632078,-2.86124049448278e-06,0.842085411730431
"diagnostic_202001_forest_FALSE","Q2R7","Q2R7","(1) Very favorable",97,79.8009560853239,-0.00252840162312271,0
"diagnostic_202001_forest_FALSE","Q2R7","Q2R7","(2) Somewhat favorable",164,125.694217488169,-0.00282649800825572,0
"diagnostic_202001_forest_FALSE","Q2R7","Q2R7","(3) Somewhat unfavorable",83,65.450333565473,-0.00331829244447486,0
"diagnostic_202001_forest_FALSE","Q2R7","Q2R7","(4) Very unfavorable",140,111.984560579062,0.00675688606058106,1
"diagnostic_202001_forest_FALSE","Q2R7","Q2R7","(5) No opinion",33,25.7275318503379,-0.00391736506884497,0
"diagnostic_202001_forest_FALSE","Q2R8","Q2R8","(1) Very favorable",75,60.3097468018531,0.00129620337289441,1
"diagnostic_202001_forest_FALSE","Q2R8","Q2R8","(2) Somewhat favorable",58,43.968347221613,0.00133946801252702,1
"diagnostic_202001_forest_FALSE","Q2R8","Q2R8","(3) Somewhat unfavorable",67,45.6708789169781,-0.000773448476032294,0
"diagnostic_202001_forest_FALSE","Q2R8","Q2R8","(4) Very unfavorable",226,177.241430342197,-0.00160060163848863,0
"diagnostic_202001_forest_FALSE","Q2R8","Q2R8","(5) No opinion",88,79.8867636024947,2.1827016559964e-05,0.400466222185597
"diagnostic_202001_forest_FALSE","Q2R9","Q2R9","(1) Very favorable",265,210.610315740107,-0.00189474618328302,0
"diagnostic_202001_forest_FALSE","Q2R9","Q2R9","(2) Somewhat favorable",115,89.3746041953561,-0.000993222731589897,0.0370013308407304
"diagnostic_202001_forest_FALSE","Q2R9","Q2R9","(3) Somewhat unfavorable",29,24.1982635259627,0.00124864216852639,0.958682940276781
"diagnostic_202001_forest_FALSE","Q2R9","Q2R9","(4) Very unfavorable",78,64.2237962782383,0.00899883939809156,1
"diagnostic_202001_forest_FALSE","Q2R9","Q2R9","(5) No opinion",32,23.0768064856528,-0.000530957794816342,0.317633518100334
"diagnostic_202001_forest_FALSE","Q2R10","Q2R10","(1) Very favorable",184,146.098443329334,-0.000394048607691932,0
"diagnostic_202001_forest_FALSE","Q2R10","Q2R10","(2) Somewhat favorable",148,112.49175684154,-0.000373298289792166,0
"diagnostic_202001_forest_FALSE","Q2R10","Q2R10","(3) Somewhat unfavorable",26,21.2404972016809,0.000115834364354817,0.782479652579391
"diagnostic_202001_forest_FALSE","Q2R10","Q2R10","(4) Very unfavorable",67,56.2729451656343,0.00212304313029845,1
"diagnostic_202001_forest_FALSE","Q2R10","Q2R10","(5) No opinion",69,56.4684507101772,0.000542683493404686,0.986342245313035
"diagnostic_202001_forest_FALSE","Q2R10","Q2R10","(6) Haven",27,20.1018407940863,6.07757551736259e-05,0.252550610198565
"diagnostic_202001_forest_FALSE","Q13","Q13","(1) Voted by absentee ballot using U.S. Mail",153,121.665987417101,-9.31925711622077e-06,0.158891635667381
"diagnostic_202001_forest_FALSE","Q13","Q13","(2) Voted by absentee ballot using ballot drop box",88,66.9458688050505,-7.09333873471256e-05,0
"diagnostic_202001_forest_FALSE","Q13","Q13","(3) Voted early in person",158,123.521302223205,7.49378077450915e-05,1
"diagnostic_202001_forest_FALSE","Q13","Q13","(4) Voted in person on Election Day",115,94.383576452732,-1.18301626956088e-05,0.118790655787464
"diagnostic_202001_forest_FALSE","Q15","Q15","(1) Republican candidate",164,126.935261785984,0.25511459382911,1
"diagnostic_202001_forest_FALSE","Q15","Q15","(2) Democratic candidate",349,278.611805796621,-0.101298921504513,0
"diagnostic_202001_forest_FALSE","Q16","Q16","(1) Yes",50,46.4044638276095,9.47413888765283e-05,0.93408323175219
"diagnostic_202001_forest_FALSE","Q16","Q16","(2) No",70,73.9824882149692,0.000214239780210236,1
